S.No. ,Name ,CMP Rs. ,MyAvgIV ,IV Rs. ,Mar Cap Rs.Cr. ,EV Rs.Cr. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,5Yrs PE ,EPS 12M Rs. ,PEG ,CMP / BV ,CMP / OCF ,CMP / Sales ,EV / EBITDA ,OPM % ,Debt / Eq ,Int Coverage ,Dividend Payout % ,Avg Div Payout 3Yrs % ,Div Yld % ,ROE 3Yr % ,ROCE3yr avg % ,Current ratio ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,Pledged % ,Prom. Hold. % ,Piotski Scr 
95,Container Corpn. ,505.3,421.55,3507.51,30787.64,28805.94,6881.91,1215.41,25.33,24.48,19.04,11.51,3.27,23.19,4.47,13.62,25.86,0,2283.27,39.73,35.42,1.35,11.11,15.1,2.61,7.21,2.2,0,54.8,8
96,Venky's (India) ,1963.35,2431.36,597.37,2765.84,2962.61,2955.98,195.4,14.15,17.15,138.71,0.27,3.52,10.82,0.94,7.83,11.86,0.49,10,5.64,10.28,0.41,24.3,24.25,2.25,13.52,52.57,0,56.11,8
97,KRBL ,321.1,268.78,180.82,7558.37,8733.81,3800.1,459.77,16.44,14.56,19.53,0.58,3.05,181.39,1.99,10.39,21.68,0.54,9.92,12.46,13.37,0.72,21.62,20.24,8.93,9.54,28.41,0,58.81,6
98,Bajaj Finserv ,7624.2,2949.26,10384.73,121328.55,183259.52,38681.61,3017.33,40.21,17.12,189.5,3.43,5.64,-6.27,3.14,13.43,35.27,3.07,2.29,1.02,1.25,0.02,15.25,15.02,1.07,30.6,11.74,0,58.37,5
99,GlaxoSmith C H L ,7003.55,6397.44,11306.81,29456.93,25871.73,4675.53,908.8,32.41,38.43,216.08,3.27,8.2,40.78,6.3,17.64,22.94,0,1041.69,45.06,44.24,1.07,23.43,35.99,2.66,6.25,9.91,0,72.46,6
100,Glenmark Pharma. ,633.2,1074.93,2131.87,17868.49,21273.18,9581.82,914.96,22.07,37.73,32.42,4.11,3.25,10.84,1.86,11.9,16.16,0.9,4.49,7.02,6.57,0.32,23.31,18.09,2.73,12.6,5.37,0,46.54,5
101,Cadila Health. ,303.85,448.07,220.77,31106.41,35198.21,12683,1979.5,15.71,25.84,19.34,0.71,3.49,33.84,2.45,10.94,23.87,0.62,20,20.18,19.72,1.15,27.16,20.17,2.08,13.37,22.02,0,74.79,7
102,Pfizer ,3127.65,4744.82,4222.6,14308.29,12538.93,2065.79,424.09,33.74,60.29,92.69,2.85,5.17,43.08,6.93,17.52,26.75,0,1151.41,25.41,25.03,0.64,13.21,20.21,2.39,13.42,11.85,0,63.92,6
103,Sanofi India ,5513.05,5488.97,9784.65,12696.55,11864.65,2768.3,380.6,33.26,33.17,165.48,3.7,5.72,33.91,4.59,16.59,22.59,0,874.71,50.76,50.76,1.52,17.36,27.64,2.16,8.88,9,0,60.4,8
104,Abbott India ,7387.95,5975.84,4954.56,15699.4,14668.05,3560.65,437.21,35.91,31.65,205.75,1.51,8.84,103.05,4.41,20.92,15.68,0,184.15,29.13,29.66,0.74,23.95,37.59,3.37,14.82,23.86,0,74.99,8
105,Dr Lal Pathlabs ,1044.35,1054.83,667.62,8703.78,8390.27,1169.1,192.9,45.12,51.48,23.36,1.79,9.96,44.14,7.44,25.21,24.93,0,327,21.96,17.8,0.43,27.44,42.03,4.21,18.53,25.26,0,56.91,4
S.No. ,Name ,CMP Rs. ,MyAvgIV ,IV Rs. ,Mar Cap Rs.Cr. ,EV Rs.Cr. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,5Yrs PE ,EPS 12M Rs. ,PEG ,CMP / BV ,CMP / OCF ,CMP / Sales ,EV / EBITDA ,OPM % ,Debt / Eq ,Int Coverage ,Dividend Payout % ,Avg Div Payout 3Yrs % ,Div Yld % ,ROE 3Yr % ,ROCE3yr avg % ,Current ratio ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,Pledged % ,Prom. Hold. % ,Piotski Scr 
106,H U D C O ,41.3,549.74,216.53,8267.85,44237.28,5311.43,1166.3,7.09,137.78,5.86,2.31,0.78,-1.06,1.56,9.64,85.63,3.68,1.64,13.78,13.21,1.33,9.04,8.71,2.05,7.44,3.07,0,89.81,3
107,Arvind Ltd ,82.2,86.95,65.6,2125.84,5383.4,8377.77,275.4,7.02,21.47,4.76,0.86,0.56,4.96,0.25,5.99,9.43,0.88,2.78,20.06,19.83,2.92,10.3,11.62,2.04,15.38,8.15,9.87,43.11,5
108,Westlife Develop ,393.35,1552.6,-253.24,6120.66,6293.24,1365.12,39.77,153.9,1870.6,2.57,-6.16,10.89,44.64,4.48,47.39,8.36,0.34,3.38,0,0,0,-2.73,0.04,0.33,10.53,-24.99,0,62.16,7
109,Engineers India ,110.2,126.24,-198.75,6963.66,4483.03,2341.44,344.08,20.24,21.11,5.45,-2.28,2.98,11.86,2.97,8.25,14.1,0,438.03,66.89,59.3,3.63,12.31,18.82,1.78,-6.53,-8.88,0,52,8
110,Havells India ,770.3,421.12,933.21,48180.18,46762.01,9840.66,810.45,59,36.94,12.97,4.5,12.54,43.5,4.9,34.65,12.47,0.03,66.47,35.09,42.77,0.52,19.71,27.03,1.36,14.24,13.12,0,59.55,5
111,Tech Mahindra ,817.4,659.34,649.74,78757.74,78110.04,33904.28,4387.09,17.95,15.33,49.5,0.82,3.79,22.16,2.32,11.34,17.91,0.13,36.32,32.55,31.85,1.74,20.24,25.19,2.42,34.96,21.88,0,35.87,4
112,Natl. Aluminium ,52.15,94.88,154.75,9729.19,7005.23,11596.28,1755.87,5.75,15.84,9.1,1.06,0.85,6.63,0.84,2.22,24.7,0,1139.99,82.07,76.17,11.32,6.18,9.53,1.38,6.57,5.41,0,52,8
113,NMDC ,100.1,150.38,-151.54,30649.12,25710.99,12392.36,4294.19,7.14,12.5,13.57,-0.7,1.18,9.06,2.47,3.52,54.37,0.02,186.62,35.75,86.49,4.44,11.39,17.99,2.89,1.65,-10.23,0,72.28,6
114,PC Jeweller ,109.5,200.45,124.06,4321.39,3945.69,8280.61,492.27,8.78,13.93,12.62,0.61,1.03,12.84,0.52,3.85,10.98,0.28,2.83,3.48,7.55,0.46,17.16,25.11,2.19,18.91,14.29,0,57.59,6
115,Rajesh Exports ,673,521.73,471.41,19873.69,14121.33,185161.69,1399.26,14.2,12.17,47.39,0.62,2.62,-6.93,0.11,6.83,1.07,1.27,3.84,2.33,2.57,0.15,23.63,16.79,2.86,43.15,22.84,0,54.03,4
116,Aditya Bir. Fas. ,207,245.99,,16011.06,17799.72,7956,231.7,69.1,160.78,2.99,,13.86,26.9,2.01,27.63,7.45,1.7,1.88,0,0,0,2.41,7.9,1.09,41.04,,0,59.1,6
117,Vodafone Idea ,16.15,0,,46407.65,104363.66,31454.8,-10684.1,,24.68,-9.76,,0.67,8.7,1.48,21.99,11.78,2.13,-0.93,0,2.64,0,-2.57,3.55,0.76,4.76,,0,71.33,3
118,Bharti Airtel ,331.45,144.06,,170066.7,274729.6,80656,385.2,,56.94,0.89,,2.47,5.7,2.11,10.28,32.12,1.6,0.67,194.23,71.23,1.26,5.7,10.38,0.62,1.69,-8.3,0,67.14,6
119,EID Parry ,191.8,530.17,156.27,3394.77,7201.02,16300.16,6.76,196.34,36.69,0.39,25.04,1.15,12.45,0.21,5.46,7.7,1.51,2.63,20.76,11.42,1.56,10.91,15.68,1.79,6.19,7.84,0.08,44.87,5
120,VRL Logistics ,265.3,387.55,283.92,2396.82,2458.64,2085.79,83.42,28.73,37.81,9.24,1.92,3.75,11.66,1.15,10.39,10.95,0.14,14.7,0,31.85,0,17.5,21.1,1.04,7.72,14.96,0,68.05,9
S.No. ,Name ,CMP Rs. ,MyAvgIV ,IV Rs. ,Mar Cap Rs.Cr. ,EV Rs.Cr. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,5Yrs PE ,EPS 12M Rs. ,PEG ,CMP / BV ,CMP / OCF ,CMP / Sales ,EV / EBITDA ,OPM % ,Debt / Eq ,Int Coverage ,Dividend Payout % ,Avg Div Payout 3Yrs % ,Div Yld % ,ROE 3Yr % ,ROCE3yr avg % ,Current ratio ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,Pledged % ,Prom. Hold. % ,Piotski Scr 
121,Blue Dart Exp. ,3161.85,6931.98,-8122.6,7503.07,7441.84,3102.91,108.87,68.92,115.9,45.89,-11.06,11.99,35.7,2.42,33.77,6.5,0.27,10.93,20.9,27.99,0.4,32.5,34.11,1.66,5.2,-6.23,0,75,7
122,Trent ,384.25,248.09,262.49,12769.27,13130.38,2531.67,127.5,99.89,70.68,3.83,4.28,7.9,124.11,5.04,48.13,9.34,0.24,6.16,32.73,32.8,0.3,6.59,9.57,1.91,17.78,23.32,0,32.61,8
123,Shoppers St. ,459.25,12537.53,,4040.94,4160.25,4122.09,244.22,62.22,451.64,27.76,,4.47,13.56,0.98,21.19,4.35,0.14,1.26,2.7,81.88,0.16,1.88,5.21,0.79,4.17,,12.63,63.67,7
124,Relaxo Footwear ,880.55,481.91,495.98,10923.29,11072.65,2217.49,174.49,62.6,35.99,14.41,2.15,13.2,70.84,4.93,32.65,14.74,0.2,36.63,11.21,9.07,0.17,24.15,28.38,1.64,14.81,29.1,0,71.02,7
125,Future Lifestyle ,494.95,316.8,,9630.14,10320.6,5377.41,145.37,66.25,54.62,7.57,,6.91,17.01,1.79,20.64,8.58,0.52,2.91,20.68,18.72,0.24,7.16,10.65,1.5,,,23.09,53.48,3
126,Bata India ,1441.6,649.19,4247.47,18528.53,17940.04,2881.36,293.47,63.14,37.31,22.83,11.63,11.91,118.98,6.43,34.54,16.14,0,91.03,22.99,24,0.28,15.06,23.13,2.95,7.37,5.43,0,52.96,7
127,Reliance Inds. ,1408.85,733.48,1842.58,893057.64,1128645.64,567135,39588,22.56,12.04,66.82,1.72,2.31,12.5,1.57,12.18,14.8,0.82,4.35,9.85,10.38,0.43,12.81,10.55,0.5,-0.27,13.09,0,46.16,7
128,Petronet LNG ,233.65,218.97,296.97,35047.5,35638.03,38648.46,2237.92,15.66,15.81,14.91,1.24,3.49,11.7,0.91,9.16,9.03,0.15,31.68,32.49,25,1.93,20.64,24.35,0.97,-0.56,12.58,0,50,7
129,O N G C ,170.25,204.82,-2697.01,214179.26,238758.77,106865.92,28586.31,7.49,13.18,22.28,-7.57,1.05,5.71,2,4.03,47.07,0.13,17.69,42.47,47.22,3.95,10.78,15.9,0.49,0.48,-0.99,0,64.25,6
130,Oil India ,183.35,350.14,-543.66,19882.57,25794.25,13646.51,3665.18,5.42,10.8,36.11,-0.94,0.72,6.42,1.46,3.68,38.14,0.32,12.06,42.54,52.69,5.71,9.61,11.24,1.2,1.39,-5.76,0,61.61,6
131,I O C L ,156.15,258.87,65.37,147002.09,212157.6,519016.8,16884.12,8.71,12.08,17.83,0.23,1.2,5.05,0.28,5.5,6.81,0.58,6.17,89.71,54.22,13.54,18.75,19.17,0.9,-1.81,38.01,0,52.18,9
132,H P C L ,286.05,349.95,93.05,43588.95,63385.72,268068.94,4806.63,9.07,8.39,31.54,0.18,1.66,3.96,0.16,5.95,3.43,0.88,10.81,40.76,40.42,5.94,28.1,21.33,0.77,1.19,49.19,0,0,8
133,GAIL (India) ,345.45,317.85,2023.37,77901.43,77452.56,71793.58,5924.36,13.19,15.52,26.27,4.81,1.81,8.99,1.09,7.36,13.32,0.05,62.31,44.38,43.27,2.63,9.78,13.63,0.74,2.51,2.74,0,52.19,8
134,Castrol India ,150.45,255.04,320.88,14881.34,14137.49,3953.7,711.5,20.92,35.62,7.19,2.79,12.77,27.08,3.76,12.17,27.3,0,1578,69.82,83.68,3.32,71.48,110.9,1.92,4.19,7.5,0,51,5
135,B P C L ,380.75,402.65,284.06,82594.3,105856.9,288396.7,6680.75,12.36,10.56,33.97,0.52,2.32,9.2,0.29,7.76,3.73,0.67,8.96,52.16,44.66,5,26.93,24.26,0.78,-0.32,23.65,0,53.29,6
S.No. ,Name ,CMP Rs. ,MyAvgIV ,IV Rs. ,Mar Cap Rs.Cr. ,EV Rs.Cr. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,5Yrs PE ,EPS 12M Rs. ,PEG ,CMP / BV ,CMP / OCF ,CMP / Sales ,EV / EBITDA ,OPM % ,Debt / Eq ,Int Coverage ,Dividend Payout % ,Avg Div Payout 3Yrs % ,Div Yld % ,ROE 3Yr % ,ROCE3yr avg % ,Current ratio ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,Pledged % ,Prom. Hold. % ,Piotski Scr 
136,Tata Power Co. ,66.95,619.86,,18108.46,65511.92,29569.28,2190.94,23.24,67.67,7.69,,0.99,2.85,0.61,8.27,19.02,3.18,1.32,14.2,35.51,1.94,4.83,7.41,1.12,-2.43,,4.34,33,7
137,Power Grid Corpn ,190.85,207.59,212.95,99844.89,228887.42,32692.62,8885.88,11.24,13.18,16.98,0.78,1.75,4.56,3.05,7.62,85.14,2.41,2.29,33.34,27.97,2.75,15.49,9.7,0.74,18.6,14.34,0,55.37,7
138,NTPC ,135.45,118.98,-1105.15,134021.78,251648.01,92185.3,10325.16,12.98,11.91,10.43,-6.62,1.32,6.96,1.45,9.82,25.74,1.19,3.66,40.82,36.15,3.15,11.17,8.05,1.11,5.06,-1.96,0,56.09,5
139,Supreme Inds. ,1090.75,971.49,2308.64,13855.46,14066.9,5543.55,502.93,29.74,28.59,39.59,3.64,6.92,27.22,2.5,16.08,15.43,0.13,27.74,35.31,40.88,1.1,23.73,28.66,1.62,7.85,8.16,0,49.7,7
140,Nilkamal Ltd ,1301.4,1190.54,721.24,1941.69,2023.19,2345.46,116.92,16.61,15.17,78.35,0.58,2.44,17.48,0.83,8.8,9.35,0.12,11.94,16.57,13.46,1,17.75,24.52,3.26,5.27,28.87,0,63.97,6
141,HSIL ,258.55,229.65,-2640.08,1869.22,2859.49,2561.6,56.18,33.51,22.21,7.78,-21.21,1.28,32.37,0.73,9.79,10.83,0.83,2.01,38.68,30.54,1.55,7,8.46,2.04,7.9,-1.58,0,48.93,4
142,Sun Pharma.Inds. ,453.25,357.7,-1642.71,108749.86,109205.75,28879.09,3721.43,23.31,39.7,13.61,-7.54,2.65,27.83,3.77,13.61,24.15,0.27,11.18,22.2,13.18,0.44,14.62,17.02,2.5,18.94,-3.09,10.97,54.39,4
143,Piramal Enterp. ,2317.05,4259.11,,42741.36,84435.15,13215.34,1473.09,24.5,14.99,74.17,,1.57,-2.68,3.23,11.42,53.58,2,1.56,8.8,23.7,1.05,16.19,8.66,5.28,24.74,,0,49.7,6
144,Narayana Hrudaya ,198.1,388.1,99.53,4048.39,4814.68,2742.52,31.78,134.59,154.62,1.57,3.96,3.84,22.22,1.48,18.83,8.83,0.77,1.72,0,0,0,5.87,10.45,1.08,22.13,33.97,0,63.85,5
145,Lupin ,870.8,252.03,256.89,39403.15,45137.92,16345.69,-466.55,41.39,45.33,-10.33,-1.55,2.92,22.5,2.41,14.35,15.53,0.53,7.36,89.97,39.39,0.57,14.21,16.83,2.72,10.38,-26.63,0,46.97,4
146,Fortis Health. ,137.75,0,,10399.5,12142.02,4371.59,-1366.55,,160.11,-25.6,,2.69,18.79,2.38,47.04,2.81,0.48,0.07,0,0,0,1.53,6.29,0.98,8.43,-4.62,0.23,31.33,4
147,Dr Reddy's Labs ,2907.45,1557.76,-4636.74,48282.85,53090.45,14972.5,1766.8,27.33,27.31,106.46,-2.72,3.68,26.78,3.22,16.48,19.34,0.4,25.53,35.07,25.58,0.69,11.7,11.79,2.03,3.83,-10.04,0,26.77,5
148,Cipla ,564.5,587.62,-3558.99,45481.95,48614.39,15656.4,1339.11,32.79,33.54,16.62,-13.38,3.09,31.09,2.91,15.61,17.2,0.29,12.68,17.12,14.98,0.53,9.76,9.8,2.54,12.85,-2.45,0,36.67,8
149,Aurobindo Pharma ,779.05,698.96,235.25,45645.75,49154.07,18320.43,2307.82,19.44,17.22,39.39,0.37,3.52,23.35,2.49,13.1,19.5,0.41,22.69,6.04,6.54,0.32,27,24.87,2.56,23.02,52.08,3.49,51.87,4
150,Apollo Hospitals ,1199.3,874.54,-3861.69,16684.66,19381.44,8032.47,285.71,58.4,52.18,20.54,-11.75,4.47,30.96,2.08,19.74,12.02,0.81,2.64,29.83,28.03,0.42,8.42,9.59,1.51,16.71,-4.97,78.13,34.39,6
S.No. ,Name ,CMP Rs. ,MyAvgIV ,IV Rs. ,Mar Cap Rs.Cr. ,EV Rs.Cr. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,5Yrs PE ,EPS 12M Rs. ,PEG ,CMP / BV ,CMP / OCF ,CMP / Sales ,EV / EBITDA ,OPM % ,Debt / Eq ,Int Coverage ,Dividend Payout % ,Avg Div Payout 3Yrs % ,Div Yld % ,ROE 3Yr % ,ROCE3yr avg % ,Current ratio ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,Pledged % ,Prom. Hold. % ,Piotski Scr 
151,Kansai Nerolac ,431.15,333.96,362.78,23235.52,22892.94,5173.62,467.35,49.72,34.86,8.66,2.62,7.44,61.57,4.49,28.48,14.34,0.01,,27.13,25.79,0.6,18.59,25.44,2.14,10.45,18.99,0,74.99,5
152,Berger Paints ,311.9,217.17,319.79,30289.54,30506.74,5888.04,492.23,61.54,45.72,5.06,3.95,13.6,71.79,5.14,33.23,14.63,0.19,26.95,37.93,34.89,0.58,23.79,29.84,1.62,9.87,15.58,0,74.98,6
153,Asian Paints ,1438.55,1087.87,1730.79,137985.39,138114.17,18806.89,2167.37,63.66,51.17,22.6,4.79,15.75,65.29,7.34,36.43,18.83,0.06,75.85,40.93,44.36,0.6,27.57,39.96,1.34,9.88,13.3,11.98,52.79,5
154,Akzo Nobel ,1665.9,2510.78,965.02,7586.56,7505.36,2913.18,378.45,20.07,29.27,81.56,0.74,7.5,41.95,2.6,13.9,10.6,0,89.6,25.65,73.29,1.35,23.95,31.37,1.17,4.79,27.14,0,74.76,7
155,Talwal.Better ,52.95,118.07,-39.1,164.17,302.97,72.3,13.81,11.89,41.72,4.48,-0.55,0.78,3.4,2.27,6.07,54.73,0.93,2.03,17.65,32.82,0.94,8.06,9.07,1.56,-18.78,-21.8,74.7,38.85,8
156,Greenlam Industr ,877.7,1101.32,,2118.45,2359.74,1231.62,71.23,29.74,41.14,29.52,,5.48,19.45,1.72,15.29,12.42,0.71,6.57,9.35,7.68,0.28,18.32,17.45,2.31,,,0,54.74,8
157,Future Retail ,419.15,279.34,,21066.41,22169.59,19342.95,66.02,31.45,1214.54,1.3,,6.14,35.08,1.09,22.97,4.9,0.42,4.2,0,0,0,17.36,16.24,1.85,66.35,,48.14,47.02,5
158,Coffee Day Enter ,260.7,408.79,,5507.34,8890.23,4072.58,139.54,62.05,81.27,6,,2.26,10.31,1.35,10.37,15.44,2.12,1.39,0,0,0,1.3,7.41,3.99,7.94,,72.32,53.94,6
159,Adani Enterp. ,128.3,85.01,-255.87,14110.44,30141.49,37376.07,529.5,21.3,18.48,4.67,-3.42,0.95,4.81,0.38,11.39,4.95,1.19,1.34,5.81,4.87,0.31,6.09,4.95,1.65,-4.26,-6.22,29.4,74.92,6
160,Vedanta ,167.7,245.39,126.6,62337.35,115280.35,96210,9252,8.48,10.42,24.95,0.32,0.92,3.46,0.65,4.08,21.57,0.92,3.56,76.26,50.27,12.65,-0.11,3.96,0.88,101.74,26.74,0,50.14,6
161,Tata Steel ,547.8,924.64,,61716.09,145925.29,162654.63,9115.58,6.77,7.88,83.9,,0.9,7.69,0.38,4.69,17.95,1.58,3.08,8.52,-72.38,1.86,0.43,7.13,1.13,-0.38,,3.51,33.12,7
162,JSW Steel ,308.85,623.16,118.57,74655.85,112985.85,83725,9052,8.25,30.28,37.88,0.2,2.38,6.03,0.89,5.65,23.65,1.41,4.31,15.55,-10.83,1.29,17.63,12.53,0.97,12.94,42.17,46.27,42.66,6
163,Hind.Zinc ,274.6,228.6,560.29,116027.26,114063.26,21118,7956,14.58,10.41,18.83,1.86,3.23,11.79,5.49,9.16,50.54,0,90.37,36.44,109.83,2.91,21.68,24.85,1.02,11.7,7.84,0,64.92,7
164,Hindalco Inds. ,205.1,456.02,353.89,46056.62,90072.88,115171.69,6082.92,9.58,16.71,27.29,0.81,0.84,4.23,0.4,6.06,11.56,0.95,2.65,4.4,-21.69,0.58,5.29,7.47,1.38,7.51,11.82,0,34.66,7
165,Coal India ,252.1,169.63,-241.77,155362.38,125425.03,98084.62,12717.59,12.22,21.31,20.49,-0.74,5.7,7.31,1.58,5.45,16.28,0.08,68.77,145.89,133.44,6.59,34.17,50.54,1.45,13.72,-16.57,0,70.96,5
S.No. ,Name ,CMP Rs. ,MyAvgIV ,IV Rs. ,Mar Cap Rs.Cr. ,EV Rs.Cr. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,5Yrs PE ,EPS 12M Rs. ,PEG ,CMP / BV ,CMP / OCF ,CMP / Sales ,EV / EBITDA ,OPM % ,Debt / Eq ,Int Coverage ,Dividend Payout % ,Avg Div Payout 3Yrs % ,Div Yld % ,ROE 3Yr % ,ROCE3yr avg % ,Current ratio ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,Pledged % ,Prom. Hold. % ,Piotski Scr 
166,Zee Entertainmen ,411.4,531.95,448.67,39514.22,39428.72,7639.97,1506.8,26.22,34.52,15.7,1.79,4.84,71.28,5.17,13.67,34.02,0.2,18.42,18.82,18.62,0.7,19.55,25.15,3.72,12.56,14.68,66.18,38.2,5
167,PVR ,1808.1,1976.19,1254.34,8450.81,9248.53,2832.83,163.13,51.8,74.07,34.9,2.25,7.39,18.92,2.98,16.78,18.32,0.77,3.43,7.5,8.92,0.11,12.43,15.37,0.76,23.68,23.06,0,20.25,8
168,Dish TV ,35.85,0,-57.69,6601.02,9191.92,6299.74,327.3,20.17,956.67,2.19,-1.65,0.97,6.37,1.05,4.44,32,0.47,1.07,0,0,0,17.81,13.05,0.36,16.42,-12.25,94.6,57.99,4
169,Wipro ,290.9,224.4,775.08,175545.55,184954.25,59018.9,9003.7,19.5,16.91,14.98,3.23,3.11,20.84,2.97,13,19.67,0.29,16.65,5.65,9.34,0.26,17.96,19.24,1.97,7.8,6.03,0,73.85,6
170,TCS ,2132,1932.07,3242.01,800008.42,787222.42,146463,31472,25.47,23.02,83.93,2.41,8.96,27.98,5.46,18,26.97,0,210.49,35.75,35.98,1.41,33.2,43.75,2.83,12.35,10.55,2.94,72.05,8
171,Infosys ,723.6,688.86,1578.52,316135.88,296567.88,82675,15404,20.71,19.41,35.49,2.78,4.87,21.3,3.82,12.98,24.4,0,,60.58,53.56,2.96,22.95,30.71,2.47,10.52,7.45,0,12.84,4
172,Info Edg.(India) ,1987.2,7006.68,3142.14,24266.92,24107.76,988.24,511.98,96.21,166.39,42.11,4.66,11.87,95.73,24.56,79.47,14.16,0,53.26,13.06,-63.5,0.28,6.9,10.91,1.25,15.91,20.63,0,40.76,6
173,HCL Technologies ,1143.05,978.48,1093.2,155029.46,151568.46,57615,9798,15.82,16.27,70.83,0.96,3.78,18.62,2.69,10.53,23.18,0.02,100.34,19.13,33.05,1.08,24.98,30.64,2.39,14.6,16.4,0,60,6
174,Thomas Cook (I) ,246.75,10975.18,1199.56,9148.98,8481.06,7812.61,5932.05,73.93,68.08,161.13,0.47,1.03,-37.46,1.17,31.11,1.82,0.05,1.85,0.23,4.77,0.15,-15.67,63.19,1.06,92.08,158.89,0,66.94,4
175,Mahindra Holiday ,238.95,277.29,821.89,3191.27,3166.32,976.15,88,36.26,27.4,6.63,7.75,12.54,9.62,3.27,16.75,15.15,0,3420.75,39.52,37.35,1.66,18.85,30.28,2.12,9.01,4.68,0,67.31,5
176,Jubilant Food. ,1326.35,1193.18,2423.06,17503.71,17375.18,3445.29,316.93,55.23,76.29,24.02,6.3,15.15,42.19,5.08,27.47,17.06,0,,15.98,18.64,0.19,15.66,23.48,0.47,16.19,8.76,12.61,41.94,8
177,Indian Hotels ,153.05,46.72,,18201.6,20358.71,4512,286.82,63.72,54.97,2.42,,4.19,36.99,4.03,22.3,18.39,0.58,3.08,47.16,-6.82,0.26,-2.78,5.85,0.61,1.85,,0,39.09,7
178,EIH ,187.8,224.32,123.39,10733.71,11059.6,1598.84,179.2,59.56,71.44,3.14,2.46,3.72,39.49,6.71,26.13,18.79,0.17,13.24,28.71,42.19,0.48,5.91,9.2,0.96,1.71,24.25,0,35.25,6
179,Cox & Kings ,121.75,560.47,172.74,2149.68,4493.38,6514.01,200.32,10.59,28.98,6.8,1.59,0.64,-2.88,0.33,5.03,11.13,1.22,2.89,4.69,16.7,0.82,7.25,11.99,2.3,28.96,6.67,63.28,49.81,6
180,Titan Company ,1145.05,615.37,1909.54,101655.95,102729.05,18996.97,1365.6,74.22,48.34,15.26,7.82,18.87,-2003.5,5.35,48.47,10.39,0.33,34.56,29.46,30.29,0.33,22.07,24.73,2.91,9.75,9.49,0,52.91,5
S.No. ,Name ,CMP Rs. ,MyAvgIV ,IV Rs. ,Mar Cap Rs.Cr. ,EV Rs.Cr. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,5Yrs PE ,EPS 12M Rs. ,PEG ,CMP / BV ,CMP / OCF ,CMP / Sales ,EV / EBITDA ,OPM % ,Debt / Eq ,Int Coverage ,Dividend Payout % ,Avg Div Payout 3Yrs % ,Div Yld % ,ROE 3Yr % ,ROCE3yr avg % ,Current ratio ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,Pledged % ,Prom. Hold. % ,Piotski Scr 
181,Varun Beverages ,904.75,1441.26,,16525.39,19239.78,5105.26,292.84,55.74,89.91,16.03,,8.27,16.53,3.24,18.38,20.02,1.4,2.97,15.59,12.44,0,11.5,13.96,1.06,19.27,,0.13,73.56,6
182,Tata Global ,204,220.51,662.08,12875.05,12704.49,7251.5,408.19,29.85,28.09,6.46,6.41,1.76,36.21,1.78,13.47,10.84,0.15,15.64,31.84,-834.17,1.23,4.55,8.48,2.98,-1.5,4.66,3.97,34.46,6
183,Tata Coffee ,86.85,112.2,-479.53,1622.1,2529.12,1803.98,68.77,26.55,19.65,3.68,-8.14,1.37,13.05,0.9,9.67,13.48,0.88,4.47,26.28,25.78,1.73,11.29,14.49,1.72,-1.58,-3.26,0,57.48,5
184,P & G Hygiene ,10348.9,6888.23,12936.58,33593.29,33193.7,2703.41,396.02,84.83,59.69,122,6.63,36.58,80.95,12.43,49.75,22.88,0,115.49,34.66,118.04,0.39,38.86,60.4,1.53,7.8,12.8,0,70.64,8
185,Pidilite Inds. ,1201.5,838.73,1022.78,61033.59,60994.58,6925.12,933.88,65.35,44.26,18.38,3.48,16.5,76.64,8.81,40.62,19.59,0.03,59.07,31.66,28.83,0.5,29.03,40.71,1.83,10.57,18.79,0,69.75,6
186,Nestle India ,10485.7,11472.87,21733.15,101103.12,99528.2,11292.27,1606.93,62.92,68.84,166.66,8.15,27.52,49.25,8.95,34.6,23.18,0.01,22.7,69,65.78,1.1,38.6,60.93,1.43,4.41,7.72,0,62.76,8
187,Marico ,356.05,249.13,351.52,45961.22,46073.8,7204.67,897.74,51.2,44.25,6.96,3.16,15.09,82.88,6.38,34.14,17.35,0.12,59.83,67.36,67,1.19,33.9,42.79,1.91,6.58,16.22,0,59.71,4
188,ITC ,304.25,298.63,567.69,372968.86,370391.97,43590.27,11915.13,31.3,32.46,9.76,3.64,7.41,29.48,8.56,19.35,38.72,0,359.69,56,61.96,1.69,23.73,36.25,1.34,6.32,8.61,0,0,5
189,Hind. Unilever ,1693.55,1045.42,2507.18,366603.52,363230.52,37376,5849,61.09,43.11,27.01,5.8,52.34,61.97,9.81,40.31,22.38,0,339.68,82.49,82.6,1.18,76.03,107.53,0.99,5.99,10.53,0,67.19,9
