S.No. ,Name ,CMP Rs. ,MyAvgIV ,IV Rs. ,Mar Cap Rs.Cr. ,EV Rs.Cr. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,5Yrs PE ,EPS 12M Rs. ,PEG ,CMP / BV ,CMP / OCF ,CMP / Sales ,EV / EBITDA ,OPM % ,Debt / Eq ,Int Coverage ,Dividend Payout % ,Avg Div Payout 3Yrs % ,Div Yld % ,ROE 3Yr % ,ROCE3yr avg % ,Current ratio ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,Pledged % ,Prom. Hold. % ,Piotski Scr 
95,Container Corpn. ,503.55,383.36,3026.08,30681.02,28699.32,6680.05,1154.55,26.57,24.48,15.66,12.08,3.14,23.11,4.59,14.46,26.02,0,19628.5,39.73,35.42,1.36,11.11,15.1,2.61,7.21,2.2,0,54.8,8
96,Venky's (India) ,2077.45,2378.88,632.41,2926.58,3123.35,2955.98,195.4,14.98,17.15,138.71,0.28,3.73,11.45,0.99,8.25,11.86,0.49,10,5.64,10.28,0.39,24.3,24.25,2.25,13.52,52.57,0,56.11,8
97,KRBL ,348.25,284.36,196.11,8197.45,9372.89,3800.1,459.77,17.83,14.56,19.53,0.63,3.3,196.73,2.16,11.15,21.68,0.54,9.92,12.46,13.37,0.66,21.62,20.24,8.93,9.54,28.41,0,58.81,6
98,Bajaj Finserv ,7637.95,3244.24,10402.81,121547.37,183478.34,38681.61,3017.33,40.28,17.12,189.5,3.43,5.65,-6.28,3.14,13.44,35.27,3.07,2.29,1.02,1.25,0.02,15.25,15.02,1.07,30.6,11.74,0,58.37,5
99,GlaxoSmith C H L ,7271.4,8303.95,11739.4,30583.51,26998.31,4675.53,908.8,33.65,38.43,216.08,3.4,8.52,42.34,6.54,18.41,22.94,0,1041.69,45.06,44.24,1.03,23.43,35.99,2.66,6.25,9.91,0,72.46,6
100,Glenmark Pharma. ,636.4,1223.21,2142.5,17958.79,21363.48,9581.82,914.96,22.18,37.73,32.42,4.13,3.27,10.9,1.87,11.95,16.16,0.9,4.49,7.02,6.57,0.31,23.31,18.09,2.73,12.6,5.37,0,46.54,5
101,Cadila Health. ,329.55,499.75,239.46,33737.44,37829.24,12683,1979.5,17.04,25.84,19.34,0.77,3.79,36.7,2.66,11.75,23.87,0.62,20,20.18,19.72,1.06,27.16,20.17,2.08,13.37,22.02,0,74.79,7
102,Pfizer ,3149.3,5588.28,4251.38,14407.34,12637.98,2065.79,424.09,33.97,60.29,92.69,2.87,5.21,43.38,6.97,17.65,26.75,0,1151.41,25.41,25.03,0.64,13.21,20.21,2.39,13.42,11.85,0,63.92,6
103,Sanofi India ,5669,5416.16,6937.77,13055.71,12325.81,2770.8,380.6,34.3,32.73,165.48,2.62,5.88,29.97,4.71,17.28,22.5,0,872.14,50.09,49.34,1.25,17.04,26.55,2,9.39,13.09,0,60.4,6
104,Abbott India ,7825.75,6511.99,5248.44,16629.72,15598.37,3560.65,437.21,38.04,31.65,205.75,1.59,9.36,108.65,4.67,22.25,15.68,0,184.15,29.13,29.66,0.7,23.95,37.59,3.37,14.82,23.86,0,74.99,8
105,Dr Lal Pathlabs ,1069.75,1202.57,683.89,8915.47,8601.96,1169.1,192.9,46.22,51.48,23.36,1.83,10.2,45.22,7.63,25.85,24.93,0,327,21.96,17.8,0.42,27.44,42.03,4.21,18.53,25.26,0,56.91,4
S.No. ,Name ,CMP Rs. ,MyAvgIV ,IV Rs. ,Mar Cap Rs.Cr. ,EV Rs.Cr. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,5Yrs PE ,EPS 12M Rs. ,PEG ,CMP / BV ,CMP / OCF ,CMP / Sales ,EV / EBITDA ,OPM % ,Debt / Eq ,Int Coverage ,Dividend Payout % ,Avg Div Payout 3Yrs % ,Div Yld % ,ROE 3Yr % ,ROCE3yr avg % ,Current ratio ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,Pledged % ,Prom. Hold. % ,Piotski Scr 
106,H U D C O ,42.9,807.39,224.78,8588.15,44557.58,5311.43,1166.3,7.36,137.78,5.86,2.4,0.81,-1.1,1.62,9.71,85.63,3.68,1.64,13.78,13.21,1.28,9.04,8.71,2.05,7.44,3.07,0,89.81,3
107,Arvind Ltd ,88.3,102.2,70.46,2283.59,5541.15,8377.77,275.4,7.54,21.47,4.76,0.93,0.6,5.33,0.27,6.17,9.43,0.88,2.78,20.06,19.83,2.72,10.3,11.62,2.04,15.38,8.15,9.87,43.11,5
108,Westlife Develop ,397.05,4807.44,-255.62,6178.24,6350.82,1365.12,39.77,155.35,1870.6,2.57,-6.22,10.99,45.06,4.53,47.82,8.36,0.34,3.38,0,0,0,-2.73,0.04,0.33,10.53,-24.99,0,62.16,7
109,Engineers India ,114.7,115.05,-206.81,7248.02,4767.39,2341.44,344.08,21.06,21.11,5.45,-2.37,3.1,12.34,3.1,8.77,14.1,0,438.03,66.89,59.3,3.49,12.31,18.82,1.78,-6.53,-8.88,0,52,8
110,Havells India ,774.05,479.11,937.79,48414.73,46996.56,9840.66,810.45,59.29,36.94,12.97,4.52,12.6,43.71,4.92,34.83,12.47,0.03,66.47,35.09,42.77,0.52,19.71,27.03,1.36,14.24,13.12,0,59.55,5
111,Tech Mahindra ,818.75,758.84,650.47,78827.4,78179.7,33904.28,4387.09,17.97,15.33,49.5,0.82,3.79,22.18,2.32,11.35,17.91,0.13,36.32,32.55,31.85,1.74,20.24,25.19,2.42,34.96,21.88,0,35.94,4
112,Natl. Aluminium ,52.75,144.14,156.63,9841.14,7117.18,11596.28,1755.87,5.82,15.84,9.1,1.08,0.86,6.71,0.85,2.26,24.7,0,1139.99,82.07,76.17,11.2,6.18,9.53,1.38,6.57,5.41,0,52,8
113,NMDC ,102.35,169.63,-154.93,31338.03,26399.9,12392.36,4294.19,7.3,12.5,13.57,-0.71,1.21,9.27,2.53,3.62,54.37,0.02,186.62,35.75,86.49,4.34,11.39,17.99,2.89,1.65,-10.23,0,72.28,6
114,PC Jeweller ,133.2,175.8,150.91,5256.71,4881.01,8280.61,492.27,10.68,13.93,12.62,0.75,1.26,15.62,0.63,4.76,10.98,0.28,2.83,3.48,7.55,0.38,17.16,25.11,2.19,18.91,14.29,0,57.59,6
115,Rajesh Exports ,715.3,576.74,501.29,21122.81,15370.45,185161.69,1399.26,15.1,12.17,47.39,0.66,2.79,-7.36,0.11,7.44,1.07,1.27,3.84,2.33,2.57,0.14,23.63,16.79,2.86,43.15,22.84,0,54.03,4
116,Aditya Bir. Fas. ,216.85,480.73,,16772.94,18561.6,7956,231.7,72.39,160.78,2.99,,14.52,28.18,2.11,28.82,7.45,1.7,1.88,0,0,0,2.41,7.9,1.09,41.04,,0,59.1,6
117,Vodafone Idea ,17.15,-240.88,,49281.19,107237.2,31454.8,-10684.1,,24.68,-9.76,,0.71,9.24,1.57,22.59,11.78,2.13,-0.93,0,2.64,0,-2.57,3.55,0.76,4.76,,0,71.33,3
118,Bharti Airtel ,324.5,50.68,,166500.66,271163.56,80656,385.2,,56.94,0.89,,2.42,5.58,2.06,10.14,32.12,1.6,0.67,194.23,71.23,1.28,5.7,10.38,0.62,1.69,-8.3,0,67.14,6
119,EID Parry ,201,14.31,163.77,3557.59,7363.84,16300.16,6.76,205.76,36.69,0.39,26.24,1.21,13.05,0.22,5.58,7.7,1.51,2.63,20.76,11.42,1.49,10.91,15.68,1.79,6.19,7.84,0.11,44.99,5
120,VRL Logistics ,273.9,349.36,293.11,2474.5,2536.32,2085.79,83.42,29.66,37.81,9.24,1.98,3.87,12.04,1.19,10.72,10.95,0.14,14.7,0,31.85,0,17.5,21.1,1.04,7.72,14.96,0,68.05,9
S.No. ,Name ,CMP Rs. ,MyAvgIV ,IV Rs. ,Mar Cap Rs.Cr. ,EV Rs.Cr. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,5Yrs PE ,EPS 12M Rs. ,PEG ,CMP / BV ,CMP / OCF ,CMP / Sales ,EV / EBITDA ,OPM % ,Debt / Eq ,Int Coverage ,Dividend Payout % ,Avg Div Payout 3Yrs % ,Div Yld % ,ROE 3Yr % ,ROCE3yr avg % ,Current ratio ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,Pledged % ,Prom. Hold. % ,Piotski Scr 
121,Blue Dart Exp. ,3183.8,5318.65,-8179.17,7555.16,7493.93,3102.91,108.87,69.4,115.9,45.89,-11.14,12.07,35.95,2.43,34,6.5,0.27,10.93,20.9,27.99,0.39,32.5,34.11,1.66,5.2,-6.23,0,75,7
122,Trent ,355.1,261.52,243.15,11800.57,12161.68,2391.72,123.21,95.78,70.68,3.7,4.11,7.19,114.7,4.93,45.78,9.52,0.24,6.53,32.73,32.8,0.32,6.59,9.57,1.91,17.78,23.32,0,32.61,8
123,Shoppers St. ,459.9,12537.53,,4046.65,4165.96,4122.09,244.22,62.3,451.64,27.76,,4.47,13.58,0.98,21.22,4.35,0.14,1.26,2.7,81.88,0.16,1.88,5.21,0.79,4.17,,12.63,63.67,7
124,Relaxo Footwear ,899.4,518.62,506.6,11157.13,11306.49,2217.49,174.49,63.94,35.99,14.41,2.2,13.48,72.36,5.03,33.34,14.74,0.2,36.63,11.21,9.07,0.16,24.15,28.38,1.64,14.81,29.1,0,71.02,7
125,Future Lifestyle ,482.65,390.53,,9390.83,10081.29,5082.98,134.87,69.63,54.62,7.15,,6.06,16.59,1.85,20.94,8.7,0.52,2.93,20.68,18.72,0.24,7.16,10.65,1.5,,,23.15,53.48,3
126,Bata India ,1464.2,851.79,4314.07,18819,18230.51,2881.36,293.47,64.13,37.31,22.83,11.81,12.09,120.85,6.53,35.1,16.14,0,91.03,22.99,24,0.27,15.06,23.13,2.95,7.37,5.43,0,52.96,7
127,Reliance Inds. ,1389.5,804.51,1817.26,880769.39,1116357.39,567135,39588,22.25,12.04,66.82,1.7,2.28,12.33,1.55,12.05,14.8,0.82,4.35,9.85,10.38,0.43,12.81,10.55,0.5,-0.27,13.09,0,46.17,7
128,Petronet LNG ,236.05,235.73,300,35407.5,35998.03,38648.46,2237.92,15.82,15.81,14.91,1.26,3.52,11.82,0.92,9.25,9.03,0.15,31.68,32.49,25,1.91,20.64,24.35,0.97,-0.56,12.58,0,50,7
129,O N G C ,168.65,293.65,-2671.8,212166.41,236745.92,106865.92,28586.31,7.42,13.18,22.28,-7.49,1.04,5.65,1.99,3.99,47.07,0.13,17.69,42.47,47.22,3.99,10.78,15.9,0.49,0.48,-0.99,0,64.25,6
130,Oil India ,179.65,389.99,-533.63,19481.34,25393.02,13646.51,3665.18,5.32,10.8,36.11,-0.92,0.7,6.29,1.43,3.62,38.14,0.32,12.06,42.54,52.69,5.83,9.61,11.24,1.2,1.39,-5.76,0,61.61,6
131,I O C L ,153.8,215.39,64.4,144789.76,209945.27,519016.8,16884.12,8.58,12.08,17.83,0.23,1.18,4.98,0.28,5.45,6.81,0.58,6.17,89.71,54.22,13.75,18.75,19.17,0.9,-1.81,38.01,0,52.18,9
132,H P C L ,268.8,264.62,87.41,40960.35,60757.12,268068.94,4806.63,8.52,8.39,31.54,0.17,1.56,3.72,0.15,5.7,3.43,0.88,10.81,40.76,40.42,6.33,28.1,21.33,0.77,1.19,49.19,0,0,8
133,GAIL (India) ,346.05,410.07,2026.43,78036.73,77587.86,71793.58,5924.36,13.21,15.61,26.27,4.82,1.81,9.01,1.09,7.37,13.32,0.05,62.31,44.38,43.27,2.63,9.78,13.63,0.74,2.51,2.74,0,52.19,8
134,Castrol India ,156.75,274.8,288.58,15504.49,14720.26,3904.6,708.3,21.89,38.38,7.16,2.52,15.2,25.45,3.97,12.74,27.42,0,999.55,100.08,84.53,4.47,84.81,131.43,1.73,2.81,8.69,0,51,5
135,B P C L ,349,358.72,260.38,75706.92,98969.52,288396.7,6680.75,11.33,10.56,33.97,0.48,2.12,8.44,0.26,7.26,3.73,0.67,8.96,52.16,44.66,5.46,26.93,24.26,0.78,-0.32,23.65,0,53.29,6
S.No. ,Name ,CMP Rs. ,MyAvgIV ,IV Rs. ,Mar Cap Rs.Cr. ,EV Rs.Cr. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,5Yrs PE ,EPS 12M Rs. ,PEG ,CMP / BV ,CMP / OCF ,CMP / Sales ,EV / EBITDA ,OPM % ,Debt / Eq ,Int Coverage ,Dividend Payout % ,Avg Div Payout 3Yrs % ,Div Yld % ,ROE 3Yr % ,ROCE3yr avg % ,Current ratio ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,Pledged % ,Prom. Hold. % ,Piotski Scr 
136,Tata Power Co. ,67.8,827.6,,18338.37,65741.83,29569.15,3423.93,20.72,67.67,12.23,,0.99,2.88,0.62,8.87,18.69,3.18,1.25,14.2,35.51,1.92,4.83,7.41,1.12,-2.43,,4.34,33,7
137,Power Grid Corpn ,191.95,225.49,214.09,100420.37,229462.9,32692.62,8885.88,11.3,13.28,16.98,0.79,1.76,4.59,3.07,7.64,85.14,2.41,2.29,33.34,27.97,2.74,15.49,9.7,0.74,18.6,14.34,0,55.37,7
138,NTPC ,133.95,124.22,-1093.23,132537.6,250163.83,92185.3,10325.16,12.84,11.91,10.43,-6.55,1.3,6.89,1.44,9.76,25.74,1.19,3.66,40.82,36.15,3.19,11.17,8.05,1.11,5.06,-1.96,0,56.09,5
139,Supreme Inds. ,1187.1,1131.88,2512.8,15079.36,15290.8,5543.55,502.93,32.37,28.59,39.59,3.97,7.53,29.63,2.72,17.47,15.43,0.13,27.74,35.31,40.88,1.01,23.73,28.66,1.62,7.85,8.16,0,49.7,7
140,Nilkamal Ltd ,1368.7,1188.57,758.59,2042.1,2123.6,2345.46,116.92,17.47,15.17,78.35,0.61,2.56,18.39,0.87,9.24,9.35,0.12,11.94,16.57,13.46,0.95,17.75,24.52,3.26,5.27,28.87,0,63.97,6
141,HSIL ,263.95,172.79,-2695.23,1908.26,2898.53,2561.6,56.18,34.21,22.21,7.78,-21.65,1.31,33.05,0.74,9.92,10.83,0.83,2.01,38.68,30.54,1.52,7,8.46,2.04,7.9,-1.58,0,48.93,4
142,Sun Pharma.Inds. ,469.35,540.32,-1700.5,112612.79,113068.68,28879.09,3721.43,24.13,39.7,13.61,-7.81,2.75,28.82,3.9,14.1,24.15,0.27,11.18,22.2,13.18,0.43,14.62,17.02,2.5,18.94,-3.09,10.97,54.39,4
143,Piramal Enterp. ,2585.7,3819.75,,47692.45,89386.24,12526.73,4960.18,9.12,14.99,254.82,,1.85,-2.99,3.81,13.15,52.16,2,1.6,8.8,23.7,0.94,16.19,8.66,5.28,24.74,,0,49.7,6
144,Narayana Hrudaya ,208.55,242.75,104.78,4261.95,5028.24,2742.52,31.78,141.69,154.62,1.57,4.17,4.04,23.39,1.55,19.66,8.83,0.77,1.72,0,0,0,5.87,10.45,1.08,22.13,33.97,0,63.85,5
145,Lupin ,864.25,-468.26,254.96,39106.76,44841.53,16345.69,-466.55,41.08,45.33,-10.33,-1.54,2.89,22.33,2.39,14.26,15.53,0.53,7.36,89.97,39.39,0.58,14.21,16.83,2.72,10.38,-26.63,0,46.97,4
146,Fortis Health. ,139.15,-4098.82,,10505.2,12247.72,4371.59,-1366.55,,160.11,-25.6,,2.72,18.98,2.4,47.45,2.81,0.48,0.07,0,0,0,1.53,6.29,0.98,8.43,-4.62,0.23,31.33,4
147,Dr Reddy's Labs ,2859.4,2907.42,-4560.39,47484.9,52292.5,14972.5,1766.8,26.88,27.31,106.46,-2.68,3.62,26.34,3.17,16.23,19.34,0.4,25.53,35.07,25.58,0.7,11.7,11.79,2.03,3.83,-10.04,0,26.77,5
148,Cipla ,558.55,557.43,-3522.08,45002.55,48134.99,15656.4,1339.11,32.45,33.54,16.62,-13.24,3.05,30.77,2.87,15.46,17.2,0.29,12.68,17.12,14.98,0.54,9.76,9.8,2.54,12.85,-2.45,0,36.67,8
149,Aurobindo Pharma ,785.3,678.3,237.19,46011.95,49520.27,18320.43,2307.82,19.6,17.22,39.39,0.38,3.55,23.54,2.51,13.19,19.5,0.41,22.69,6.04,6.54,0.32,27,24.87,2.56,23.02,52.08,3.49,51.87,4
150,Apollo Hospitals ,1228.8,1071.78,-3956.24,17095.06,19791.84,8032.47,285.71,59.83,52.18,20.54,-12.04,4.58,31.73,2.13,20.16,12.02,0.81,2.64,29.83,28.03,0.41,8.42,9.59,1.51,16.71,-4.97,78.13,34.39,6
S.No. ,Name ,CMP Rs. ,MyAvgIV ,IV Rs. ,Mar Cap Rs.Cr. ,EV Rs.Cr. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,5Yrs PE ,EPS 12M Rs. ,PEG ,CMP / BV ,CMP / OCF ,CMP / Sales ,EV / EBITDA ,OPM % ,Debt / Eq ,Int Coverage ,Dividend Payout % ,Avg Div Payout 3Yrs % ,Div Yld % ,ROE 3Yr % ,ROCE3yr avg % ,Current ratio ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,Pledged % ,Prom. Hold. % ,Piotski Scr 
151,Kansai Nerolac ,435.85,310.25,366.69,23488.82,23146.24,5124.02,480.34,48.9,34.86,8.9,2.58,7.52,62.24,4.58,27.98,14.86,0.01,,27.13,25.79,0.6,18.59,25.44,2.14,10.45,18.99,0,74.99,5
152,Berger Paints ,322.8,231.34,330.96,31348.07,31565.27,5888.04,492.23,63.69,45.72,5.06,4.09,14.07,74.3,5.32,34.39,14.63,0.19,26.95,37.93,34.89,0.56,23.79,29.84,1.62,9.87,15.58,0,74.98,6
153,Asian Paints ,1450.05,1156.44,1744.65,139088.47,139217.25,18806.89,2167.37,64.17,51.17,22.6,4.82,15.88,65.81,7.4,36.72,18.83,0.06,75.85,40.93,44.36,0.6,27.57,39.96,1.34,9.88,13.3,11.98,52.79,5
154,Akzo Nobel ,1754.2,2508.79,1016.46,7988.69,7907.49,2913.18,378.45,21.14,30.76,81.56,0.78,7.9,44.17,2.74,14.64,10.6,0,89.6,25.65,73.29,1.29,23.95,31.37,1.17,4.79,27.14,0,74.76,7
155,Talwal.Better ,54.15,186.91,-39.98,167.89,306.69,72.3,13.81,12.16,41.72,4.48,-0.56,0.79,3.48,2.32,6.14,54.73,0.93,2.03,17.65,32.82,0.92,8.06,9.07,1.56,-18.78,-21.8,74.7,38.85,8
156,Greenlam Industr ,978.8,1214.45,,2362.47,2603.76,1231.62,71.23,33.17,41.14,29.52,,6.11,21.69,1.92,16.87,12.42,0.71,6.57,9.35,7.68,0.26,18.32,17.45,2.31,,,0,54.74,8
157,Future Retail ,423.25,1578.9,,21272.48,22375.66,19342.95,66.02,31.76,1214.54,1.3,,6.2,35.42,1.1,23.18,4.9,0.42,4.2,0,0,0,17.36,16.24,1.85,66.35,,48.14,47.02,5
158,Coffee Day Enter ,267.25,487.62,,5645.7,9028.59,4072.58,139.54,63.61,81.27,6,,2.32,10.57,1.39,10.53,15.44,2.12,1.39,0,0,0,1.3,7.41,3.99,7.94,,72.32,53.94,6
159,Adani Enterp. ,136.15,86.3,-271.49,14973.78,31004.83,37376.07,529.5,22.6,18.48,4.67,-3.63,1.01,5.11,0.4,11.72,4.95,1.19,1.34,5.81,4.87,0.29,6.09,4.95,1.65,-4.26,-6.22,29.4,74.92,6
160,Vedanta ,174.8,259.98,131.97,64976.56,117919.56,96210,9252,8.84,10.42,24.95,0.33,0.96,3.6,0.68,4.17,21.57,0.92,3.56,76.26,50.27,12.14,-0.11,3.96,0.88,101.74,26.74,0,50.14,6
161,Tata Steel ,525.25,1263.32,,59175.57,143384.77,158729.1,17056.17,9.67,7.88,160.32,,0.92,7.38,0.37,4.77,16.31,1.58,3.16,8.52,-72.38,1.94,0.43,7.13,1.13,-0.38,,3.88,32.34,7
162,JSW Steel ,292.35,1147.01,112.25,70667.44,108997.44,83725,9052,7.81,30.28,37.88,0.19,2.26,5.71,0.84,5.45,23.65,1.41,4.31,15.55,-10.83,1.37,17.63,12.53,0.97,12.94,42.17,46.27,42.66,6
163,Hind.Zinc ,275.5,208.2,560,116407.54,114443.54,21904,8449,13.72,10.41,20,1.75,2.94,11.83,5.31,8.65,52.52,0,103.11,36.44,109.83,2.9,21.68,24.85,1.02,11.7,7.84,0,64.92,7
164,Hindalco Inds. ,200.7,456.02,346.14,45068.56,89084.82,115171.69,6082.92,9.37,16.71,27.29,0.79,0.82,4.14,0.39,5.99,11.56,0.95,2.65,4.4,-21.69,0.59,5.29,7.47,1.38,7.51,11.82,0,34.66,7
165,Coal India ,254,436.64,-243.56,156533.3,126595.95,98084.62,12717.59,12.31,21.31,20.49,-0.74,5.74,7.36,1.6,5.5,16.28,0.08,68.77,145.89,133.44,6.54,34.17,50.54,1.45,13.72,-16.57,0,70.96,5
S.No. ,Name ,CMP Rs. ,MyAvgIV ,IV Rs. ,Mar Cap Rs.Cr. ,EV Rs.Cr. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,5Yrs PE ,EPS 12M Rs. ,PEG ,CMP / BV ,CMP / OCF ,CMP / Sales ,EV / EBITDA ,OPM % ,Debt / Eq ,Int Coverage ,Dividend Payout % ,Avg Div Payout 3Yrs % ,Div Yld % ,ROE 3Yr % ,ROCE3yr avg % ,Current ratio ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,Pledged % ,Prom. Hold. % ,Piotski Scr 
166,Zee Entertainmen ,417.9,541.96,455.86,40138.53,40053.03,7639.97,1506.8,26.64,34.52,15.7,1.81,4.92,72.4,5.25,13.88,34.02,0.2,18.42,18.82,18.62,0.69,19.55,25.15,3.72,12.56,14.68,66.18,38.2,5
167,PVR ,1711.7,2585.04,1187.51,8000.24,8797.96,2832.83,163.13,49.04,74.07,34.9,2.13,7,17.91,2.82,15.96,18.32,0.77,3.43,7.5,8.92,0.12,12.43,15.37,0.76,23.68,23.06,0,20.25,8
168,Dish TV ,36.9,2095.11,-59.38,6794.35,9385.25,6299.74,327.3,20.76,956.67,2.19,-1.69,1,6.56,1.08,4.53,32,0.47,1.07,0,0,0,17.81,13.05,0.36,16.42,-12.25,94.6,64.63,4
169,Wipro ,293.05,253.31,780.65,176831.02,186239.72,59018.9,9003.7,19.64,16.91,14.98,3.26,3.13,20.99,3,13.09,19.67,0.29,16.65,5.65,9.34,0.26,17.96,19.24,1.97,7.8,6.03,0,73.85,6
170,TCS ,2183.45,1932.07,3319.65,819314.44,806528.44,146463,31472,26.08,23.02,83.93,2.47,9.18,28.65,5.59,18.44,26.97,0,210.49,35.75,35.98,1.37,33.2,43.75,2.83,12.35,10.55,2.94,72.05,8
171,Infosys ,736.45,688.86,1606.72,321749.96,302181.96,82675,15404,21.08,19.41,35.49,2.83,4.95,21.68,3.89,13.22,24.4,0,,60.58,53.56,2.91,22.95,30.71,2.47,10.52,7.45,0,12.84,4
172,Info Edg.(India) ,2013.9,7006.68,3184.6,24592.97,24433.81,988.24,511.98,97.51,166.39,42.11,4.73,12.03,97.02,24.89,80.54,14.16,0,53.26,13.06,-63.5,0.27,6.9,10.91,1.25,15.91,20.63,0,40.76,6
173,HCL Technologies ,1138.95,1152.4,1089.75,154473.38,151012.38,57615,9798,15.77,16.27,70.83,0.96,3.76,18.55,2.68,10.49,23.18,0.02,100.34,19.13,33.05,1.08,24.98,30.64,2.39,14.6,16.4,0,60,6
174,Thomas Cook (I) ,250.05,10969.73,1215.29,9270.06,8602.14,7812.61,5932.05,74.9,68.08,161.13,0.47,1.04,-37.95,1.19,31.56,1.82,0.05,1.85,0.23,4.77,0.15,-15.67,63.19,1.06,92.08,158.89,0,66.94,4
175,Mahindra Holiday ,239.75,181.66,824.84,3201.95,3177,976.15,88,36.39,27.4,6.63,7.78,12.59,9.65,3.28,16.81,15.15,0,3420.75,39.52,37.35,1.66,18.85,30.28,2.12,9.01,4.68,0,67.31,5
176,Jubilant Food. ,1317,1832.49,2405.95,17380.33,17251.8,3445.29,316.93,54.84,76.29,24.02,6.26,15.04,41.89,5.04,27.28,17.06,0,,15.98,18.64,0.19,15.66,23.48,0.47,16.19,8.76,12.61,41.94,8
177,Indian Hotels ,152.4,114.89,,18124.3,20281.41,4411.14,247.46,69.19,54.97,2.09,,4.32,36.84,4.11,23.67,17.91,0.58,2.72,47.16,-6.82,0.26,-2.78,5.85,0.61,1.85,,0,39.09,7
178,EIH ,192.7,224.32,126.63,11013.77,11339.66,1598.84,179.2,61.12,71.44,3.14,2.52,3.82,40.53,6.89,26.79,18.79,0.17,13.24,28.71,42.19,0.47,5.91,9.2,0.96,1.71,24.25,0,35.25,6
179,Cox & Kings ,131.95,197.06,187.1,2329.78,4673.48,6514.01,200.32,11.47,28.98,6.8,1.72,0.7,-3.12,0.36,5.23,11.13,1.22,2.89,4.69,16.7,0.76,7.25,11.99,2.3,28.96,6.67,63.28,49.81,6
180,Titan Company ,1149.15,737.67,1916.49,102019.95,103093.05,18996.97,1365.6,74.49,48.34,15.26,7.85,18.94,-2010.67,5.37,48.64,10.39,0.33,34.56,29.46,30.29,0.33,22.07,24.73,2.91,9.75,9.49,0,52.91,5
S.No. ,Name ,CMP Rs. ,MyAvgIV ,IV Rs. ,Mar Cap Rs.Cr. ,EV Rs.Cr. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,5Yrs PE ,EPS 12M Rs. ,PEG ,CMP / BV ,CMP / OCF ,CMP / Sales ,EV / EBITDA ,OPM % ,Debt / Eq ,Int Coverage ,Dividend Payout % ,Avg Div Payout 3Yrs % ,Div Yld % ,ROE 3Yr % ,ROCE3yr avg % ,Current ratio ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,Pledged % ,Prom. Hold. % ,Piotski Scr 
181,Varun Beverages ,836.55,1441.26,,15279.72,17994.11,5105.26,292.84,51.54,89.91,16.03,,7.65,15.29,2.99,17.19,20.02,1.4,2.97,15.59,12.44,0,11.5,13.96,1.06,19.27,,0.13,73.56,6
182,Tata Global ,208.9,181.46,678.05,13184.3,13013.74,7251.5,408.19,30.57,28.09,6.46,6.56,1.8,37.08,1.82,13.8,10.84,0.15,15.64,31.84,-834.17,1.2,4.55,8.48,2.98,-1.5,4.66,3.97,34.46,6
183,Tata Coffee ,91.2,72.31,-503.55,1703.35,2610.37,1803.98,68.77,27.88,19.65,3.68,-8.55,1.44,13.7,0.94,9.98,13.48,0.88,4.47,26.28,25.78,1.64,11.29,14.49,1.72,-1.58,-3.26,0,57.48,5
184,P & G Hygiene ,10556.55,7282.18,13195.83,34267.34,33867.75,2703.41,396.02,86.53,59.69,122,6.76,37.32,82.58,12.68,50.76,22.88,0,115.49,34.66,118.04,0.38,38.86,60.4,1.53,7.8,12.8,0,70.64,8
185,Pidilite Inds. ,1221.95,813.5,1040.31,62072.41,62033.4,6925.12,933.88,66.47,44.26,18.38,3.54,16.78,77.94,8.96,41.31,19.59,0.03,59.07,31.66,28.83,0.49,29.03,40.71,1.83,10.57,18.79,0,69.75,6
186,Nestle India ,10833.4,11472.87,22451.61,104455.64,102880.72,11292.27,1606.93,65,68.84,166.66,8.42,28.43,50.88,9.25,35.77,23.18,0.01,22.7,69,65.78,1.06,38.6,60.93,1.43,4.41,7.72,0,62.76,8
187,Marico ,362.9,307.98,358.25,46845.47,46958.05,7204.67,897.74,52.18,44.25,6.96,3.22,15.38,84.48,6.5,34.8,17.35,0.12,59.83,67.36,67,1.17,33.9,42.79,1.91,6.58,16.22,0,59.71,4
188,ITC ,306.45,316.81,571.86,375665.76,373088.87,43590.27,11915.13,31.53,32.46,9.76,3.66,7.46,29.69,8.62,19.49,38.72,0,359.69,56,61.96,1.67,23.73,36.25,1.34,6.32,8.61,0,0,5
189,Hind. Unilever ,1752.6,1164.4,2594.6,379386.09,376013.09,37376,5849,63.22,43.11,27.01,6,54.17,64.13,10.15,41.73,22.38,0,339.68,82.49,82.6,1.14,76.03,107.53,0.99,5.99,10.53,0,67.19,9
