S.No. ,Name ,CMP Rs. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,OPM % ,EPS 12M Rs. ,Dividend Payout % ,Debt / Eq ,Int Coverage ,Div Yld % ,PEG ,CMP / BV ,Avg Div Payout 3Yrs % ,IV Rs. ,EV Rs.Cr. ,Mar Cap Rs.Cr. ,Altman Z Scr ,Current ratio ,ROE 3Yr % ,Graham Price Rs. ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,EV / EBIT Rs. ,Pledged % ,Prom. Hold. % 
S.No. ,Name ,CMP Rs. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,OPM % ,EPS 12M Rs. ,Dividend Payout % ,Debt / Eq ,Int Coverage ,Div Yld % ,PEG ,CMP / BV ,Avg Div Payout 3Yrs % ,IV Rs. ,EV Rs.Cr. ,Mar Cap Rs.Cr. ,Altman Z Scr ,Current ratio ,ROE 3Yr % ,Graham Price Rs. ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,EV / EBIT Rs. ,Pledged % ,Prom. Hold. % 
106,HCL Technologies ,1086.8,52298,8943,16.92,22.54,64.22,19.16,0.02,160.55,1.1,1.03,3.9,32.06,1060.1,147878.26,151339.26,11.19,2.39,25.01,634.66,14.6,16.4,12.97,0,60.17
107,HDFC AMC ,1630.65,1867,721.62,47.9,57.51,34.04,46.69,0,,0.97,,14.62,43.99,,34565.88,34567.95,101.99,1.52,,292.32,,,32.53,,0
108,HDFC Bank ,2011.85,84121.61,18194.35,30.02,65.16,67.02,19.29,8.58,1.65,0.62,1.43,4.93,19.39,1529.27,1335165.43,546204.9,0.88,3.49,18,784.83,18.01,21.05,18.98,0,20.86
109,HDFC Stand. Life ,436.6,32621.51,1172.83,74.97,2.72,5.82,24.63,0,,0.31,,17.14,23.86,,86818.76,87927.23,11.72,0.76,26.62,57.75,,,72.62,0,80.9
110,Hero Motocorp ,3163.75,33050.06,3692.49,17.11,16.22,184.89,51.31,0,781.8,3,1.27,4.98,49.17,3771.65,63042.37,63183.71,10.7,0.68,35.19,1625.07,6.28,13.42,11.89,0,34.63
111,Hind. Unilever ,1626.85,35483,5482,63.39,21.14,25.33,82.66,0,347.86,1.23,6.02,40.93,82.74,2439.76,348782.22,352155.22,26.04,0.99,76.47,150.51,5.99,10.53,45.57,0,67.19
112,Hind.Aeronautics ,904.6,18540.93,2100.95,14.4,19.96,62.83,52.01,0.08,309.21,3.56,,2.44,,,24629.01,30248.69,1.49,1.44,,723.86,,,7.21,0,89.97
113,Hind.Zinc ,286.25,22818,9266,13.32,55,21.93,36.44,0,79.39,2.79,1.7,3.2,106.92,596.14,118985.75,120949.75,11.13,1.02,21.9,210.24,11.7,7.84,9.31,0,64.92
114,Hindalco Inds. ,237.9,115171.69,6082.92,11.11,11.56,27.09,4.43,0.95,2.65,0.5,0.94,0.97,8.78,407.4,97433.12,53416.86,1.62,1.38,5.37,385.87,7.51,11.82,9.41,0.09,34.67
115,Honeywell Auto ,22369.75,2804.82,286.07,69.13,14.27,323.61,11.33,0,1564.5,0.14,2.85,13.09,8.21,14772.54,18933.43,19774.86,14.06,2.07,16.82,3527.13,10.13,24.23,43.22,0,75
116,HSIL ,301.5,2315.23,65.09,30.43,11.07,9,38.68,0.83,2.62,1.33,-19.26,1.46,29.51,-2773.37,3170.01,2179.74,2.05,2.04,6.98,204.39,7.9,-1.58,21.45,0,48.43
117,Huhtamaki PPL ,271.3,2256.82,72.12,28.41,10.26,9.55,35.62,0.74,5.5,1.11,3.97,3.53,33.37,607.14,2409.96,2048.91,3.51,1.76,11.77,128.59,19.07,7.15,15.09,0,66.94
118,I O C L ,149.1,421491.82,22189.45,6.53,9.88,22.85,91.91,0.58,9.96,14.08,0.17,1.2,61.08,62.81,209958.6,144803.09,2.11,0.9,18.65,253.14,-1.81,38.01,5.49,0,56.75
119,ICICI Bank ,322.9,56229.12,4608.88,45.08,34.69,7.16,14.23,7.28,1.14,0.46,-11.33,2.04,20.25,-1297.58,867423.84,207759.39,0.68,4.73,9.57,159.84,6.52,-3.98,23.2,0,0
120,ICICI Lombard ,896.5,8807.8,936.96,43.45,14.67,20.64,21.07,0.11,,0.45,1.85,8.43,22.9,611.11,40599.52,40706.34,1.08,0.46,18.1,222.27,11.49,23.48,30.32,0,55.92
S.No. ,Name ,CMP Rs. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,OPM % ,EPS 12M Rs. ,Dividend Payout % ,Debt / Eq ,Int Coverage ,Div Yld % ,PEG ,CMP / BV ,Avg Div Payout 3Yrs % ,IV Rs. ,EV Rs.Cr. ,Mar Cap Rs.Cr. ,Altman Z Scr ,Current ratio ,ROE 3Yr % ,Graham Price Rs. ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,EV / EBIT Rs. ,Pledged % ,Prom. Hold. % 
121,ICICI Pru Life ,362.75,38268.56,1495.53,34.82,3.77,10.42,59.38,0,,1.85,25.99,7.29,65.02,4332.23,51871.4,52075.14,9.42,0.79,28.22,108.02,14.16,1.34,30.51,0,78.71
122,ICICI Sec ,330.75,1895.49,568.86,18.73,49.73,17.66,135.73,0.81,17.68,2.84,,11.01,,,9830.02,10654.83,5.28,2.19,,109.27,,,10.6,0,79.22
123,ICRA ,3678.65,317.79,103.96,35.03,37.31,105.01,29.5,0,1328.25,0.82,2.6,5.35,30.69,4369.41,3412.48,3643.07,21.88,2.79,16.31,1274.3,4.2,13.47,21.41,0,50.55
124,IFB Inds. ,1099.6,2249.09,90.03,49.49,7.44,22.22,0,0.04,31.21,0,2.34,7.89,0,832.69,4414.07,4455.58,7.49,1.33,11.67,263.9,18.59,21.13,33.2,0,74.96
125,IIFL Holdings ,646.2,5362.82,979.52,21.05,70.55,30.7,17.5,6.51,1.71,0.77,0.77,3.87,20.73,378.33,50637.39,20617.11,1.29,5.3,18.25,339.73,7.68,27.33,12.36,0,28.95
126,Indiabulls Hous. ,1145.1,13996.2,4113.89,11.88,86.33,96.41,45.45,8.21,1.65,3.58,0.47,3.37,52.64,731.56,154370.55,48860.92,0.89,2.34,27.67,857.93,25.34,25.05,11.41,17.94,21.57
127,Indian Hotels ,127.45,4172.09,141.06,117.14,16.06,1.19,47.16,0.58,1.84,0.31,,3.62,28.31,,17314.21,15157.1,3.1,0.61,-2.42,30.71,1.85,,38.23,0,39.09
128,Indraprastha Gas ,269.7,4830.32,685.4,27.54,23.42,9.79,4.17,0,559.22,0.15,2.18,5.12,13.91,340.75,18320.99,18879.02,10,0.64,19.81,107.74,6.4,12.66,17.33,0,45
129,IndusInd Bank ,1828.35,18213.39,3805.16,28.88,61.75,63.31,12.48,8.09,1.56,0.41,1.04,4.48,12.29,1051.93,286598.41,109886.04,0.88,3.14,16.1,762.04,19.87,27.81,17.77,26.5,14.96
130,Info Edg.(India) ,1597.35,988.24,511.98,77.2,18.63,42,13.06,0,53.26,0.34,3.74,9.52,23.48,2514.71,19315.12,19474.28,22.59,1.25,-5.15,398.16,15.91,20.63,70.56,0,41.35
131,Infosys ,742.9,72572,16157,20.19,26.23,36.99,58.98,0,,2.93,1.9,4.74,47.6,1122,304709.17,324527.17,15.88,3.05,22.97,361.35,11.81,10.65,14.93,0,12.9
132,Interglobe Aviat ,882.8,23779.94,1459.02,23.26,7.6,37.96,10.29,0.35,6.47,0.68,1.08,4.78,33.97,658.3,29807.55,33935.43,3.7,1.29,56.96,397.16,20.13,21.46,12.39,0,74.93
133,ITC ,306.8,41379.91,11481.43,33.49,38.7,9.39,56,0,206.8,1.67,3.89,6.92,61.44,584.38,372680.69,375257.58,22.47,1.34,23.78,96.78,6.33,8.61,21.55,0,0
134,Jain Irrigation ,86.75,8357.5,259.48,17.02,13.05,5.1,21.22,0.97,1.72,0.81,-5.17,1,30.34,-422.14,8183.75,4416.35,2.1,2.57,3.49,99.78,6.49,-3.29,9.53,26.56,28.5
135,JK Tyre & Indust ,116.15,8905.01,244.77,9.98,11.56,10.79,51.51,2.96,1.84,1.29,-0.31,1.3,16.22,-52.69,8314.99,2634.43,1.37,1.58,15.65,147.24,3.62,-32.7,9.61,0,52.48
S.No. ,Name ,CMP Rs. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,OPM % ,EPS 12M Rs. ,Dividend Payout % ,Debt / Eq ,Int Coverage ,Div Yld % ,PEG ,CMP / BV ,Avg Div Payout 3Yrs % ,IV Rs. ,EV Rs.Cr. ,Mar Cap Rs.Cr. ,Altman Z Scr ,Current ratio ,ROE 3Yr % ,Graham Price Rs. ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,EV / EBIT Rs. ,Pledged % ,Prom. Hold. % 
136,Johnson Con. Hit ,1746.25,2116.66,89.25,53.2,8.4,32.82,4.07,0.02,94.85,0.09,1.16,8.1,5.29,611.3,4724.9,4748.05,6.17,1.48,19,398.91,18.63,45.7,34.36,0,74.25
137,JSW Steel ,399.75,76564,7828,12.02,22.23,32.38,12.45,1.41,3.77,0.8,0.29,3.19,14.88,147.67,134958.39,96628.39,2.02,0.97,18.25,302.38,12.94,42.17,9.83,41.07,41.75
138,Jubilant Food. ,1345.1,3156.69,257.24,69.01,16.12,19.49,15.98,0,,0.19,7.88,15.87,17.34,2456.63,17622.63,17751.16,22.28,0.47,15.79,192.79,16.19,8.76,45.24,10.42,44.93
139,Kajaria Ceramics ,418.2,2739.45,231.81,28.68,16.39,14.58,20.29,0.13,18.07,0.72,1.65,4.76,18.79,386.06,6735.24,6647.3,7.85,1.73,22.8,169.69,11.35,17.33,18.21,0,47.58
140,Kansai Nerolac ,480.1,4788.87,515.43,50.2,16.77,9.56,27.13,0.01,,0.54,2.64,7.92,24.26,404.35,25530.96,25873.54,18.56,2.14,18.76,114.15,10.45,18.99,32.28,0,74.99
141,Kaveri Seed Co. ,620.2,763.73,218.54,18.76,28.1,33.07,0,0,1202.53,0,1.21,3.3,12.48,641.65,4083.62,4099.03,6.59,1.24,25.17,374.01,12.46,15.47,17.87,0,54.79
142,Kotak Mah. Bank ,1230.4,26099.3,6428.64,37.49,34.36,33.72,2.15,4.95,1.73,0.06,1.63,4.51,2.3,877.51,460024.81,234585.67,1.1,2.55,13.44,455.15,18.32,23.05,20.44,0,30.03
143,KRBL ,378.35,3118.23,421.59,21.13,24.17,17.91,12.51,0.54,11.92,0.61,0.74,3.73,13.21,213.13,10081.42,8905.98,6.21,8.93,21.65,202.18,9.54,28.41,14.44,0,58.81
144,KSB ,763.3,994.77,71.61,37.1,11.24,20.57,30.84,0.02,48.29,0.79,11.45,3.82,29.17,3768.63,2583.91,2657.05,6.61,2.02,11.57,304.01,5.81,3.24,23.78,0,66.41
145,L & T Infotech ,1879.5,7791.5,1206.4,26.95,17.03,69.73,33.26,0,101.47,1.14,2,7.7,42.85,2227.23,32160.58,32523.88,15.62,2.13,34.67,618.71,13.66,13.5,20.19,0,81.54
146,L&T Fin.Holdings ,155.85,10803.37,1690.15,18.41,67.29,8.46,13.67,5.7,1.38,0.64,0.94,2.38,14.3,126.88,101637.76,31124.02,1.04,5.86,13.94,111.7,21.23,19.64,13.15,0,64.01
147,L&T Technology ,1633,4076.7,606.7,27.89,15.85,58.56,64.79,0.04,311.96,0.97,,7.93,41.24,,16841.7,16925.7,14.18,2.17,38.35,521.02,,,20.76,0,87.1
148,Larsen & Toubro ,1352.25,124155.76,8448.13,22.7,16.65,60.26,30.42,1.94,2.57,1.18,1.62,3.33,29.67,1566.67,289075.25,189583.7,1.63,1.68,13.23,742.27,9.97,13.97,14.4,0,0
149,LIC Housing Fin. ,477,15345.42,2087.46,11.53,94.3,41.36,17.25,11.45,1.27,1.43,0.81,1.82,16.73,536.57,166446.8,24071.81,0.56,1.29,18.32,494.47,14.5,14.22,11.41,0,40.31
150,Lupin ,959.35,15817.34,102.66,30.4,8.3,2.27,89.96,0.53,2.91,0.52,-1.14,3.15,17.81,-41.46,49112.09,43377.32,3.71,2.72,14.64,124.76,10.38,-26.63,73.69,0,47.01
S.No. ,Name ,CMP Rs. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,OPM % ,EPS 12M Rs. ,Dividend Payout % ,Debt / Eq ,Int Coverage ,Div Yld % ,PEG ,CMP / BV ,Avg Div Payout 3Yrs % ,IV Rs. ,EV Rs.Cr. ,Mar Cap Rs.Cr. ,Altman Z Scr ,Current ratio ,ROE 3Yr % ,Graham Price Rs. ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,EV / EBIT Rs. ,Pledged % ,Prom. Hold. % 
151,M & M ,938.15,92093.95,7510.39,20.36,14.36,60.41,12.41,1.52,2.93,0.8,2.31,3.16,17.31,2231.2,165980.42,116630.1,2.11,1.9,14.08,634.77,6.04,8.82,14.22,5.75,20.46
152,M & M Fin. Serv. ,425.75,7480.57,1113.54,24.33,63.59,18.03,27.71,4.24,1.55,0.94,38.02,2.75,31.1,10966.75,65306.83,26301.35,1.4,5.64,9.88,250.72,12.62,0.64,13.5,0,51.19
153,Mahindra CIE ,280.55,6520,358.4,29.24,12.39,9.47,0,0.32,10.42,0,,2.86,0,,11746.65,10621.65,3.23,1.03,8.12,144.61,24.09,,20.68,0,69.83
154,Mahindra Holiday ,244.75,1034.84,115.75,28.24,19.49,8.67,39.73,0,3585.2,1.63,6.03,4.2,37.45,837.06,3243.78,3268.73,4.43,2.12,18.94,106.62,9.01,4.68,18.1,0,67.34
155,Mahindra Logis. ,544.85,3491.83,74.47,52.02,3.83,10.47,16.67,0.08,32.92,0.28,,8.73,7.33,,3844.77,3876.17,7.41,1.46,14.72,121.27,,,32.08,0,61.05
156,Manappuram Fin. ,86.7,3528.43,715.87,10.2,62.02,8.5,25.12,3.28,2.03,2.31,0.12,1.81,27.19,16.01,19202.43,7304.82,2.21,22.19,19.14,95.72,83.34,86.63,8.9,3.31,34.63
157,Marico ,344.35,6667.5,851.65,52.2,17.51,6.6,67.36,0.12,64.73,1.23,3.22,15.62,66.62,339.85,44563.5,44450.92,20.15,1.91,33.92,57.21,6.58,16.22,38.29,0,59.71
158,Maruti Suzuki ,8493.95,84676.4,8140.7,31.52,15.45,269.49,31.3,0,35.58,0.94,1.27,5.87,28.08,5458.2,256624.95,256585.25,11.69,0.43,16.85,2962.82,12.85,24.9,21.52,0,56.21
159,Monsanto India ,2781.65,697.23,176.11,27.27,26.26,102.02,31.47,0,135.52,1.08,1.39,6.8,37.24,2267.62,4786.61,4801.89,17.17,1.48,29.19,969.19,9.09,19.63,25.78,0,72.14
160,Motherson Sumi ,290.6,58002.24,2531.01,23.93,9.28,12.02,29.66,1.05,10.22,0.77,0.76,5.83,24.42,146.99,68771.81,61179.71,3.36,1.36,23.86,116.16,17.35,31.31,17.09,3.48,61.73
161,MRF ,69143.35,15110.86,1246.49,23.52,17.14,2939.83,2.33,0.18,8.59,0.09,1.71,2.97,1.86,80459.41,30880.85,29316.78,4.33,0.97,22.57,39229.85,4.54,13.75,14.64,0.03,27.56
162,Multi Comm. Exc. ,789.4,273.52,89.4,36.43,21.97,17.53,80.01,0,3027.75,2.15,-2.23,2.9,56.17,-626.86,3966.29,4025.95,7.33,0.4,8.21,327.61,-7.73,-16.3,32.75,0,0
163,Muthoot Finance ,451.1,6392.45,1860.76,9.7,75.5,46.51,23.25,2.73,2.55,2.22,0.85,2.19,23.7,634.86,38760.26,18048.13,2.47,14.32,20.04,464.58,2.78,11.37,7.96,0,73.6
164,Narayana Hrudaya ,255.9,2412.14,36.35,147.84,8.44,1.78,0,0.77,2.09,0,4.35,5.06,0,123.95,5995.88,5229.59,3.67,1.08,5.86,45,22.14,33.97,53.59,0,63.85
165,Natl. Aluminium ,69.7,10680.05,1900.52,10.38,20.42,9.83,82.07,0,1387.93,8.18,1.92,1.2,77.14,301.77,10748.56,13472.52,4,1.38,6.19,113.16,6.57,5.41,3.72,0,56.17
S.No. ,Name ,CMP Rs. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,OPM % ,EPS 12M Rs. ,Dividend Payout % ,Debt / Eq ,Int Coverage ,Div Yld % ,PEG ,CMP / BV ,Avg Div Payout 3Yrs % ,IV Rs. ,EV Rs.Cr. ,Mar Cap Rs.Cr. ,Altman Z Scr ,Current ratio ,ROE 3Yr % ,Graham Price Rs. ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,EV / EBIT Rs. ,Pledged % ,Prom. Hold. % 
166,NBCC ,66.85,6271.94,345.32,34.85,6.34,1.92,29.95,0,2162.54,0.83,3.63,6.37,37.73,111.64,10319.45,12033,2.19,1.3,20.37,21.29,12.81,9.59,19.88,0,73.69
167,NCC ,87.55,10113.41,173.97,28.38,9.38,2.9,35.62,0.5,1.62,1.14,0.94,1.26,36.06,43.82,7201.87,5258.66,1.71,1.72,3.48,67.43,3.78,30.05,8.53,32.46,18.11
168,Nestle India ,10354,10571.15,1474.06,67.73,23.26,152.88,67.68,0.01,22.13,0.83,24.28,23.55,68.26,59381,98410.98,99833.26,35.82,1.53,33.8,1229.84,3.73,2.79,42.13,0,62.76
169,New India Assura ,245.65,24007.89,2336.7,17.32,5.21,14.18,32.76,0,,1.78,,1.63,30.92,,31462.05,40483.12,1.03,0.53,3.51,219.26,,,10.93,0,85.44
170,NHPC Ltd ,24.7,6735.51,2633.56,9.62,52.66,2.57,52.07,0.66,4.75,5.67,-1.28,0.87,66.51,-52.81,42470.23,25340.52,1.67,1.02,5.74,40.47,5.54,-7.49,9.92,0,73.64
171,Nilkamal Ltd ,1768,2155.35,125.44,21.03,11.31,84.08,16.57,0.12,15.22,0.74,0.73,3.19,13.59,979.95,2719.36,2637.86,7.98,3.26,17.76,1024.56,5.27,28.87,13.59,0,64.09
172,NLC India ,70,7939.01,1090.76,10.27,26.37,7.14,37.21,0.65,9.58,6.43,1.46,0.8,52.03,167.13,19141.14,10699.98,1.49,1.96,18.3,118.69,8.76,7.02,9.07,0,83.93
173,NMDC ,121.95,11195.36,3811.95,10.37,51.24,12.05,35.75,0.02,154.1,3.53,-1.01,1.52,80.72,-195.44,33645.51,38583.64,8.41,2.89,11.55,147.33,1.65,-10.23,5.49,0,72.43
174,NTPC ,170,86276.98,10313.14,13.59,26.12,12.51,40.82,1.19,3.94,3.01,-6.93,1.34,35.82,-1387.84,257799.13,140172.9,1.43,1.11,11.18,188.75,5.05,-1.96,15.18,0,61.71
175,O N G C ,168.5,93143.39,22204.41,9.74,45.03,17.3,42.47,0.13,17.44,3.92,-9.84,1.08,47.11,-2723.26,240819.53,216240.02,2.85,0.49,10.79,246.01,0.48,-0.99,6.97,0,67.45
176,Oil India ,202.7,11715.19,2920.91,7.88,37.95,25.74,42.54,0.32,10.71,4.93,-1.37,0.8,49.69,-563.42,28916.19,23004.51,2.21,1.2,9.61,382.12,1.39,-5.76,6.31,0,66.13
177,P & G Hygiene ,10153.7,2455.29,374.59,87.99,25.06,115.4,291.81,0,110.36,3.83,4.56,36.59,123.01,8413.5,32842.83,32959.66,33.85,1,31.94,848.81,12.33,19.31,55.94,0,70.64
178,P I Inds. ,774.15,2329.52,348.09,30.67,20.59,25.24,15.07,0.04,73.57,0.52,1,5.35,13.49,405.16,10639.31,10676.1,10.53,2.08,27.43,286.54,14.63,30.57,23.51,0,51.43
179,Page Industries ,33935.85,2670.4,386.12,98,22.22,346.3,42.11,0.08,36.54,0.39,3.88,38.94,41.33,21513.41,37840.15,37838.48,43.49,1.71,46.66,2605.89,23.83,25.24,64.19,0,49.01
180,PC Jeweller ,81.8,9793.64,573.51,5.63,10.32,14.53,3.48,0.28,3.36,0.61,0.39,0.79,6.99,91.66,2852.52,3228.22,2.29,2.19,17.15,183.57,18.91,14.28,2.59,0,57.61
S.No. ,Name ,CMP Rs. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,OPM % ,EPS 12M Rs. ,Dividend Payout % ,Debt / Eq ,Int Coverage ,Div Yld % ,PEG ,CMP / BV ,Avg Div Payout 3Yrs % ,IV Rs. ,EV Rs.Cr. ,Mar Cap Rs.Cr. ,Altman Z Scr ,Current ratio ,ROE 3Yr % ,Graham Price Rs. ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,EV / EBIT Rs. ,Pledged % ,Prom. Hold. % 
181,Petronet LNG ,237.8,33332.67,2227.23,16.02,10.51,14.85,32.49,0.15,23.46,1.89,1.27,3.46,26.35,302.57,36260.53,35670,7.32,0.97,20.68,151.53,-0.56,12.58,10.55,0,50
182,Pfizer ,3576.85,2059.91,394.74,41.45,26.88,86.29,27.17,0,1468.27,0.56,6.35,5.82,30.54,8763.79,14842.68,16363.27,13.07,2.43,11.14,1092.75,12.46,6.53,24.66,0,63.92
183,Pidilite Inds. ,1100.95,6392.15,980.36,57.03,21.93,19.31,31.66,0.03,74.68,0.54,3.04,14.66,28.99,937.73,55871.28,55910.29,28,1.83,29.06,180.66,10.57,18.79,39.21,0,69.76
184,Piramal Enterp. ,2926.5,11287.77,4748.24,10.54,45.82,262.77,8.84,2,1.52,0.86,,2.4,15.35,,94570.75,52876.96,1.61,5.28,16.77,2684.04,24.74,,19.38,0,50.77
185,Power Fin.Corpn. ,82.35,26466.74,5799.88,3.75,97.55,21.97,35.17,5.76,1.46,9.47,0.64,0.53,36.99,226.49,250726.22,21741.07,0.77,4.86,13.11,277.86,9,5.82,9.57,0,65.61
186,Power Grid Corpn ,193.8,30698.21,8427.09,12.03,86.53,16.11,33.34,2.41,2.35,2.71,0.91,1.79,28.7,233.32,230430.75,101388.22,0.99,0.74,15.14,198.13,18.6,13.29,12.32,0,56.27
187,Prestige Estates ,218.05,5080.3,435.9,22.31,22.14,11.62,12.12,1.57,2.27,0.55,4.29,1.68,10.83,797.67,14853.88,8176.88,1.07,1.4,8.61,184.13,23.07,5.2,13.13,0,70
188,Puravankara ,88.3,1458.43,98.18,21.32,21.83,4.14,41.99,0.86,1.52,1.81,-10.1,0.84,31.7,-669.31,4061.64,2093.94,1.7,3.28,4.78,98.84,11.56,-2.11,10.42,0,75
189,PVR ,1391.55,2393.78,132.39,48.95,17.63,28.35,7.5,0.77,3.45,0.14,2.12,5.76,8.8,962.87,7301.63,6503.91,4.52,0.76,12.63,392.44,23.68,23.06,25.31,0,20.25
190,Quess Corp ,919.8,6838.3,339.22,39.45,5.56,23.31,0,0.47,4.35,0,0.43,5.32,0,161.68,13711.48,13381.63,5.68,2.44,16.67,301.1,43.85,91,37.35,0,71.67
191,Rajesh Exports ,702.1,181204.05,1368.09,15.15,1.11,46.33,2.61,0.99,3.53,0.16,,2.96,3.08,,11445.05,20733.01,6.38,1.77,24.87,497.21,,,5.7,0,54.03
192,Rallis India ,197.05,1922.21,176.35,21.73,14.41,9.07,29.01,0.02,60.43,1.27,2.73,3.08,27.97,395.67,3823.26,3832.01,4.57,1.52,16.29,114.3,4.7,7.97,15.58,0,50.09
193,Relaxo Footwear ,835.7,2040.44,169.67,59.28,15.39,14.1,11.21,0.2,32.23,0.18,2.04,12.46,9.29,459.57,10207.32,10057.96,14.18,1.64,24.16,145.87,14.81,29.1,38.48,0,74.25
194,Reliance Inds. ,1252.5,436962,36486,21.76,16.54,57.56,9.85,0.82,5.92,0.48,1.66,2.62,10.35,1530.95,1029477.65,793889.65,1.73,0.5,12.8,786.8,-0.27,13.09,16.6,0,46.18
195,Rural Elec.Corp. ,108.7,22248.84,4647,4.62,92.12,23.53,38.89,5.6,1.49,8.42,1.15,0.6,32.7,433.75,218485.34,21467.36,0.74,4.74,18,308.45,10.53,4.01,10.53,0,58.32
S.No. ,Name ,CMP Rs. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,OPM % ,EPS 12M Rs. ,Dividend Payout % ,Debt / Eq ,Int Coverage ,Div Yld % ,PEG ,CMP / BV ,Avg Div Payout 3Yrs % ,IV Rs. ,EV Rs.Cr. ,Mar Cap Rs.Cr. ,Altman Z Scr ,Current ratio ,ROE 3Yr % ,Graham Price Rs. ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,EV / EBIT Rs. ,Pledged % ,Prom. Hold. % 
196,S C I ,50.8,3498.94,54.48,43.43,13.07,1.17,0,0.79,0.13,0,,0.34,0,,6821.51,2366.26,1.12,1.63,5.61,62.41,-3.73,,271.67,0,63.75
197,Sanofi India ,6586.45,2638.5,374.4,40.51,23.48,162.57,50.16,0,542.91,1.08,3.09,6.87,49.37,8049.76,14438.7,15168.6,14.66,2,16.52,1872.9,9.39,13.09,24.18,0,60.4
198,SBI Life Insuran ,673.3,34453.52,1191.26,56.52,2.89,11.91,15.71,0,,0.22,,9.98,14.92,,64900.16,67330,13.87,1.89,19.74,134.42,,,51.41,0,84.1
199,Schaeffler India ,5479.95,2034.37,253.85,35.88,18.15,152.74,10.25,0,917.9,0.22,16.46,5.34,9.02,40222.47,8467.13,9107.68,16.79,3.37,15.15,1877.38,7.29,2.18,21.96,0,51.33
200,Sh.Renuka Sugar ,12.9,5221.5,-3017.5,,-55.91,-15.74,0,-10.98,-5.97,0,,,0,,4802.62,2472.69,-0.31,0.79,-22.9,27.01,-1.81,,-1.55,1.07,58.97
201,Sheela Foam ,1738.25,2047.88,138.13,61.41,10.85,28.31,0,0.08,23.52,0,1.76,13.47,0,795.43,8369.36,8479.67,16.12,1.61,29.67,286.73,11.58,34.97,40.38,0,85.68
202,Shoppers St. ,609.45,4122.09,244.22,82.57,4.35,27.75,2.7,0.14,1.26,0.12,,5.93,6.73,,5481.86,5362.55,5.79,0.79,2.81,253.32,4.17,,67.34,12.63,63.67
203,Shree Cement ,16879,10320.53,1223.55,48.06,22.62,351.19,12.58,0.38,11.01,0.3,5.83,6.41,19.28,32773.19,62088.51,58806.43,8.66,2.2,17.69,4562.02,12.66,8.24,35.56,0,64.79
204,Shriram Trans. ,1177.35,13047.72,1692.24,16.69,63.94,74.59,15.92,5.04,1.43,0.93,9.82,2.03,14.17,11716.77,86393.37,26711.72,1.15,5.22,12.1,986.09,13.37,1.7,10.15,0,26.08
205,Siemens ,944.9,11927.7,1238.4,39.83,10.18,34.77,22.04,0,341.72,0.74,3.39,4.04,34.44,1884.2,29578.51,33649.81,5.74,2.02,11.56,427.5,-3.14,11.76,16.03,0,75
206,SKF India ,1752.1,2838.89,312.53,28.78,16.07,60.88,20.81,0.05,73.19,0.68,2.97,4.69,24.3,2890.11,8337.28,8994.92,12.09,3.52,15.59,715.41,4.31,9.7,17.08,0,52.32
207,Sobha ,430.25,2705.8,221.7,18.4,19.56,23.39,30.61,0.84,2.54,1.63,-184,1.45,21.35,-68860.16,6292.63,4080.75,1.38,1.99,6.6,395.84,8.34,-0.1,11.98,18.85,55.93
208,Somany Ceramics ,426.9,1712.94,70.44,24.49,10.54,16.61,16.24,0.93,4.09,0.63,1.35,3.07,13.99,358.4,2336.63,1809.18,2.91,2.11,17.57,227.93,10.43,18.16,14.29,0,51.53
209,St Bk of India ,285.3,233352.45,-11818.61,,19.85,-13.24,0,15.04,0.85,0,,1.27,24.04,,3150586.99,254618.48,0.33,1.48,1.43,,6.39,,25.47,0,57.66
210,Sun Pharma.Inds. ,649.9,27504.84,4042.01,38.58,22.25,16.85,22.2,0.27,10.11,0.31,-12.49,3.98,11.41,-3366.07,156388,155932.11,5.72,2.5,14.75,248.92,18.94,-3.09,28.69,2.58,54.38
S.No. ,Name ,CMP Rs. ,Sales Rs.Cr. ,NP 12M Rs.Cr. ,P/E ,OPM % ,EPS 12M Rs. ,Dividend Payout % ,Debt / Eq ,Int Coverage ,Div Yld % ,PEG ,CMP / BV ,Avg Div Payout 3Yrs % ,IV Rs. ,EV Rs.Cr. ,Mar Cap Rs.Cr. ,Altman Z Scr ,Current ratio ,ROE 3Yr % ,Graham Price Rs. ,Sales Var 5Yrs % ,Profit Var 5Yrs % ,EV / EBIT Rs. ,Pledged % ,Prom. Hold. % 
