comp_name, isin, plan_1k, demat_1k, tbd_1k, tbd_pct, last_txn_date, days, type, captype, sc_cmp, sc_myavgiv, upside, upl, acp, sc_dp3, sc_d2e, sc_roe3, sc_roce3, sc_sales5, sc_profit5, sc_peg, sc_pledge, comments
Adani ports special economic zone,INE742F01042,3,2,1,33,03-Jul-2018,307,Buy,Large Cap,387,367,-5 %,2.90,380.72,9,1,23,15,26,19,1,42,pledge > 25 and Failed
Maruti suzuki,INE585B01010,15,15,0,0,05-Dec-2018,152,Buy,Large Cap,6710,6372,-5 %,(7.22),7563.02,27,0,17,24,13,25,1,0,tbd_units le 0 and Failed
Bajaj auto,INE917I01010,3,6,-3,-100,04-Apr-2018,397,Buy,Large Cap,3060,2847,-6 %,8.38,2837.95,40,0,26,36,5,6,3,0,tbd_units le 0 and Failed
Avenue supermarts,INE192R01011,3,3,0,0,09-Nov-2018,178,Buy,Large Cap,1262,1181,-6 %,(2.70),1368.09,0,0,19,23,36,53,2,0,dp3 < 6 and tbd_units le 0 and Failed
Petronet lng,INE347G01014,6,3,3,50,02-Jan-2019,124,Buy,Large Cap,234,219,-6 %,0.89,233.96,25,0,21,24,-1,13,1,0,sales5 < 0 and Failed
Colgate palmolive,INE259A01022,3,2,1,33,04-Apr-2018,397,Buy,Large Cap,1171,1096,-6 %,9.01,1114.49,64,0,54,79,6,6,7,0,peg > 4 and Failed
Emami,INE548C01032,3,4,-1,-33,19-Feb-2019,76,Buy,Mid Cap,379,355,-6 %,(24.29),518.93,47,0,23,25,8,4,15,6,peg > 4 and tbd_units le 0 and Failed
Endurance technologies,INE913H01037,3,2,1,33,07-Sep-2018,241,Buy,Mid Cap,1176,1087,-7 %,(22.86),1510.35,10,0,21,22,11,19,2,0,Passed
Gail,INE129A01019,3,3,0,0,22-Apr-2019,14,Buy,Large Cap,345,318,-7 %,(3.30),357.86,43,0,10,14,3,3,5,0,peg > 4 and tbd_units le 0 and Failed
Glaxosmithkline consumer healthcare,INE264A01014,3,5,-2,-67,19-Sep-2017,594,Buy,Mid Cap,7004,6397,-8 %,42.17,5114.50,44,0,23,36,6,10,3,0,tbd_units le 0 and Failed
Nilkamal,INE310A01015,3,4,-1,-33,03-Jul-2018,307,Buy,Micro Cap,1301,1191,-8 %,(24.59),1815.04,13,0,18,25,5,29,1,0,tbd_units le 0 and Failed
Tata consultancy services,INE467B01029,15,21,-6,-40,09-Nov-2018,178,Buy,Large Cap,2132,1932,-9 %,79.94,1213.42,36,0,33,44,12,11,2,3,tbd_units le 0 and Failed
Carborundum universal,INE120A01034,3,2,1,33,09-Nov-2018,178,Buy,Small Cap,355,322,-9 %,6.16,351.20,19,0,14,19,4,19,1,0,Passed
Aurobindo pharma,INE406A01037,3,3,0,0,22-Apr-2019,14,Buy,Large Cap,779,699,-10 %,4.04,754.79,7,0,27,25,23,52,0,3,tbd_units le 0 and Failed
Prestige estates projects,INE811K01011,3,2,1,33,03-Jul-2018,307,Buy,Mid Cap,265,236,-10 %,(2.96),271.18,12,2,9,10,23,5,6,0,peg > 4 and Failed
Jubilant foodworks,INE797F01012,3,3,0,0,03-Jul-2018,307,Buy,Mid Cap,1326,1193,-10 %,70.69,771.59,19,0,16,23,16,9,6,13,peg > 4 and tbd_units le 0 and Failed
Gillette,INE322A01010,3,5,-2,-67,12-Jun-2017,693,Buy,Mid Cap,7498,6743,-10 %,54.92,4905.17,101,0,33,50,3,22,5,0,peg > 4 and tbd_units le 0 and Failed
Ntpc,INE733E01010,3,7,-4,-133,28-Mar-2019,39,Buy,Large Cap,135,119,-11 %,4.88,127.72,36,1,11,8,5,-2,-7,0,profit5 < 0 and tbd_units le 0 and Failed
Sobha,INE671H01015,3,3,0,0,03-Jul-2018,307,Buy,Small Cap,488,430,-11 %,14.10,425.41,20,1,7,9,8,0,-186,19,tbd_units le 0 and Failed
3m,INE470A01017,3,25,-22,-733,12-Mar-2019,55,Buy,Mid Cap,22844,20330,-11 %,(0.18),24717.67,0,0,22,34,10,43,2,0,dp3 < 6 and tbd_units le 0 and Failed
Exide industries,INE302A01020,3,2,1,33,05-Dec-2018,152,Buy,Mid Cap,217,191,-11 %,(10.48),243.47,31,0,14,20,9,6,4,0,Passed
Hsil,INE415A01038,3,2,1,33,04-Apr-2018,397,Buy,Micro Cap,259,230,-11 %,(35.14),408.49,31,1,7,8,8,-2,-21,0,profit5 < 0 and Failed
Cera sanitaryware,INE739E01017,3,3,0,0,14-Jun-2017,691,Buy,Small Cap,2819,2508,-11 %,(7.11),3078.11,15,0,20,29,19,16,2,0,tbd_units le 0 and Failed
Tvs motor company,INE494B01023,3,4,-1,-33,03-Jul-2018,307,Buy,Large Cap,485,419,-13 %,(12.04),588.08,23,0,25,23,16,29,1,0,tbd_units le 0 and Failed
Shree cement,INE070A01015,3,18,-15,-500,12-Mar-2019,55,Buy,Large Cap,19872,17216,-13 %,6.00,18299.46,19,0,18,19,13,8,7,0,peg > 4 and tbd_units le 0 and Failed
Uflex,INE516A01017,3,2,1,33,09-Oct-2018,209,Buy,Micro Cap,219,190,-13 %,(18.87),292.07,6,1,9,10,6,10,0,10,Passed
Aegis logistics,INE208C01025,3,2,1,33,02-Jan-2019,124,Buy,Small Cap,195,169,-13 %,(17.80),239.17,26,0,20,21,4,42,1,0,Passed
Skf,INE640A01023,3,3,0,0,03-Jul-2018,307,Buy,Small Cap,1958,1678,-14 %,18.02,1693.46,24,0,16,23,4,10,3,0,tbd_units le 0 and Failed
Hcl technologies,INE860A01027,3,6,-3,-100,03-Jul-2018,307,Buy,Large Cap,1143,978,-14 %,35.07,843.25,33,0,25,31,15,16,1,0,tbd_units le 0 and Failed
Mahindra mahindra financial services,INE774D01024,3,2,1,33,04-Dec-2018,153,Buy,Mid Cap,402,345,-14 %,(2.50),444.46,32,4,10,10,13,1,25,0,d2e > 2 and peg > 4 and Failed
Schaeffler,INE513A01014,3,6,-3,-100,07-Sep-2018,241,Buy,Small Cap,5258,4483,-14 %,(1.05),5587.21,13,0,18,27,27,30,1,0,tbd_units le 0 and Failed
Cholamandalam investment finance company,INE121A01016,3,2,1,33,24-Aug-2018,255,Buy,Mid Cap,1317,1118,-15 %,(6.01),1515.25,12,6,19,12,16,26,1,0,d2e > 2 and Failed
Container corporation,INE111A01025,3,3,0,0,18-Feb-2019,77,Buy,Large Cap,505,422,-16 %,(2.35),515.65,35,0,11,15,7,2,12,0,peg > 4 and tbd_units le 0 and Failed
Tvs srichakra,INE421C01016,3,2,1,33,26-Oct-2018,192,Buy,Micro Cap,2123,1764,-16 %,(6.97),2361.41,25,0,31,33,8,53,0,0,Passed
Hindustan zinc,INE267A01025,3,3,0,0,02-Jan-2019,124,Buy,Large Cap,275,229,-16 %,0.19,274.98,110,0,22,25,12,8,2,0,tbd_units le 0 and Failed
Krbl,INE001B01026,3,2,1,33,03-Jul-2018,307,Buy,Mid Cap,321,269,-16 %,(13.58),402.98,13,1,22,20,10,28,1,0,Passed
Page industries,INE761H01022,3,24,-21,-700,12-Mar-2019,55,Buy,Mid Cap,22185,18369,-17 %,(3.60),24465.35,41,0,47,62,24,25,2,0,tbd_units le 0 and Failed
Tech mahindra,INE669C01036,3,4,-1,-33,02-Jan-2019,124,Buy,Large Cap,817,659,-19 %,60.19,511.10,32,0,20,25,35,22,1,0,tbd_units le 0 and Failed
Sun pharmaceutical industries,INE044A01036,3,12,-9,-300,09-Nov-2018,178,Buy,Large Cap,453,358,-20 %,(35.02),722.31,13,0,15,17,19,-3,-8,11,profit5 < 0 and tbd_units le 0 and Failed
Kansai nerolac paints,INE531A01024,3,3,0,0,02-Jan-2019,124,Buy,Mid Cap,431,334,-22 %,(10.85),488.92,26,0,19,25,10,19,3,0,tbd_units le 0 and Failed
Dabur,INE016A01026,3,4,-1,-33,02-Jan-2019,124,Buy,Large Cap,380,294,-22 %,12.91,353.08,48,0,29,31,5,13,4,0,tbd_units le 0 and Failed
Rajesh exports,INE343B01030,3,4,-1,-33,09-Oct-2018,209,Buy,Mid Cap,673,522,-22 %,(1.81),728.50,3,1,24,17,43,23,1,0,dp3 < 6 and tbd_units le 0 and Failed
Tata investment corporation,INE672A01018,3,2,1,33,24-Aug-2018,255,Buy,Small Cap,858,658,-23 %,(0.66),847.68,47,0,9,11,8,7,3,0,Passed
Whirlpool,INE716A01013,3,3,0,0,04-Apr-2018,397,Buy,Mid Cap,1393,1068,-23 %,0.86,1386.24,9,0,23,35,12,22,2,0,tbd_units le 0 and Failed
Wipro,INE075A01022,3,7,-4,-133,15-Mar-2019,52,Buy,Large Cap,291,224,-23 %,46.10,200.58,9,0,18,19,8,6,3,0,tbd_units le 0 and Failed
Godfrey phillips,INE260B01028,3,1,2,67,29-Jun-2018,311,Buy,Small Cap,1065,805,-24 %,50.92,747.76,27,0,9,13,2,-1,-37,0,profit5 < 0 and Failed
Asian paints,INE021A01026,3,10,-7,-233,09-Nov-2018,178,Buy,Large Cap,1439,1088,-24 %,34.66,1076.82,44,0,28,40,10,13,5,12,peg > 4 and tbd_units le 0 and Failed
Interglobe aviation,INE646L01027,3,3,0,0,09-Nov-2018,178,Buy,Large Cap,1578,1184,-24 %,30.11,1131.77,37,0,53,45,20,21,0,0,tbd_units le 0 and Failed
Grasim industries,INE047A01021,3,2,1,33,09-Nov-2018,178,Buy,Large Cap,899,666,-25 %,(14.74),1032.77,11,1,8,13,15,5,4,0,Passed
Kajaria ceramics,INE217B01036,3,3,0,0,09-Nov-2018,178,Buy,Small Cap,603,451,-25 %,2.73,605.64,19,0,23,31,11,17,2,0,tbd_units le 0 and Failed
Adani transmission,INE931S01010,3,1,2,67,26-Jul-2018,284,Buy,Mid Cap,216,159,-26 %,27.63,172.18,0,2,23,15,0,0,0,52,dp3 < 6 and pledge > 25 and Failed
Icici lombard general insurance company,INE765G01017,3,3,0,0,03-Jul-2018,307,Buy,Large Cap,1088,794,-27 %,51.20,707.97,23,0,18,27,11,23,2,0,tbd_units le 0 and Failed
Apollo hospitals enterprise,INE437A01024,3,8,-5,-167,09-Nov-2018,178,Buy,Mid Cap,1199,875,-27 %,1.39,1211.95,28,1,8,10,17,-5,-12,78,profit5 < 0 and pledge > 25 and tbd_units le 0 and Failed
Chambal fertilizers chemicals,INE085A01013,3,2,1,33,09-Nov-2018,178,Buy,Small Cap,155,109,-29 %,7.76,148.01,-225,2,14,11,0,11,1,1,dp3 < 6 and Failed
Voltas,INE226A01021,3,3,0,0,09-Nov-2018,178,Buy,Mid Cap,604,424,-29 %,13.37,544.16,23,0,16,21,3,24,1,0,tbd_units le 0 and Failed
Hdfc bank,INE040A01026,15,20,-5,-33,04-Dec-2018,153,Buy,Large Cap,2368,1654,-30 %,115.61,1057.37,19,9,18,8,18,21,1,0,d2e > 2 and tbd_units le 0 and Failed
Marico,INE196A01026,3,3,0,0,02-Jan-2019,124,Buy,Large Cap,356,249,-30 %,5.34,344.50,67,0,34,43,7,16,3,0,tbd_units le 0 and Failed
Pidilite industries,INE318A01026,3,3,0,0,04-Apr-2018,397,Buy,Large Cap,1202,839,-30 %,41.10,866.03,29,0,29,41,11,19,3,0,tbd_units le 0 and Failed
Berger paints,INE463A01038,3,3,0,0,02-Jan-2019,124,Buy,Mid Cap,312,217,-30 %,12.58,286.74,35,0,24,30,10,16,4,0,tbd_units le 0 and Failed
Kotak mahindra bank,INE237A01028,3,2,1,33,04-Apr-2018,397,Buy,Large Cap,1418,984,-30 %,29.54,1055.12,2,5,13,8,18,23,2,0,dp3 < 6 and d2e > 2 and Failed
Muthoot finance,INE414G01012,3,3,0,0,04-Dec-2018,153,Buy,Mid Cap,600,417,-30 %,30.15,450.78,24,3,20,16,3,11,1,0,d2e > 2 and tbd_units le 0 and Failed
Mrf,INE883A01011,3,58,-55,-1833,12-Mar-2019,55,Buy,Large Cap,53111,36870,-30 %,(3.92),57914.45,2,0,22,28,5,14,1,0,dp3 < 6 and tbd_units le 0 and Failed
Brigade enterprises,INE791I01019,3,3,0,0,09-Oct-2018,209,Buy,Small Cap,225,155,-31 %,1.51,230.27,19,1,8,11,18,19,1,0,tbd_units le 0 and Failed
Coal,INE522F01014,3,10,-7,-233,27-Nov-2017,525,Buy,Large Cap,252,170,-32 %,(22.76),328.84,133,0,34,51,14,-17,-1,0,profit5 < 0 and tbd_units le 0 and Failed
Bajaj holdings investment,INE118A01012,3,3,0,0,24-Aug-2018,255,Buy,Large Cap,3191,2167,-32 %,8.76,3034.71,15,0,16,4,23,11,1,0,tbd_units le 0 and Failed
Dcm shriram,INE499A01024,3,1,2,67,24-Oct-2018,194,Buy,Small Cap,466,316,-32 %,(1.60),410.36,18,0,21,21,4,22,0,0,Passed
Pi industries,INE603J01030,3,2,1,33,02-Jan-2019,124,Buy,Mid Cap,1059,705,-33 %,12.35,902.20,14,0,27,31,15,31,1,0,Passed
Procter gamble hygiene health care,INE179A01014,3,8,-5,-167,09-Jun-2017,696,Buy,Large Cap,10349,6888,-33 %,31.65,8018.86,118,0,39,60,8,13,7,0,peg > 4 and tbd_units le 0 and Failed
Future retail,INE752P01024,3,2,1,33,01-Feb-2018,459,Buy,Mid Cap,419,279,-33 %,(10.06),470.57,0,0,17,16,66,0,0,48,dp3 < 6 and pledge > 25 and Failed
Manappuram finance,INE522D01027,3,2,1,33,22-Apr-2019,14,Buy,Small Cap,118,79,-33 %,(5.30),125.92,32,3,19,14,83,87,0,5,d2e > 2 and Failed
Upl,INE628A01036,3,5,-2,-67,25-Jan-2017,831,Buy,Large Cap,970,623,-35 %,27.57,743.28,21,1,29,23,14,22,1,2,tbd_units le 0 and Failed
Balkrishna industries,INE787D01026,3,3,0,0,05-Dec-2018,152,Buy,Mid Cap,894,573,-35 %,5.35,904.07,15,0,19,19,7,15,2,0,tbd_units le 0 and Failed
Ceat,INE482A01020,3,4,-1,-33,09-Oct-2018,209,Buy,Small Cap,1053,682,-35 %,(24.64),1445.64,14,0,16,20,5,14,1,0,tbd_units le 0 and Failed
Trent,INE849A01020,3,2,1,33,04-Apr-2018,397,Buy,Mid Cap,384,248,-35 %,18.45,299.79,33,0,7,10,18,23,4,0,Passed
Future lifestyle fashions,INE452O01016,3,2,1,33,01-Feb-2018,459,Buy,Small Cap,495,317,-35 %,29.80,370.76,19,1,7,11,0,0,0,23,Passed
Apollo tyres,INE438A01022,3,2,1,33,01-Feb-2018,459,Buy,Mid Cap,202,130,-35 %,(19.26),258.84,16,0,14,15,3,4,3,15,Passed
Larsen toubro infotech,INE214T01019,3,2,1,33,28-May-2018,343,Buy,Mid Cap,1680,1071,-36 %,(0.19),1699.31,45,0,35,44,14,14,1,0,Passed
L&t technology services,INE010V01017,3,1,2,67,28-May-2018,343,Buy,Mid Cap,1691,1077,-36 %,26.27,1342.52,40,0,33,40,0,0,0,0,Passed
Ultratech cement,INE481G01011,15,15,0,0,05-Dec-2018,152,Buy,Large Cap,4566,2840,-37 %,16.38,3776.16,11,1,11,13,9,-1,-48,0,profit5 < 0 and tbd_units le 0 and Failed
Hindustan unilever,INE030A01027,3,8,-5,-167,05-Dec-2018,152,Buy,Large Cap,1694,1045,-38 %,74.60,1003.78,83,0,76,108,6,11,6,0,peg > 4 and tbd_units le 0 and Failed
Britannia industries,INE216A01022,3,0,3,100,,0,,Large Cap,2696,1655,-38 %,0,0,30,0,38,54,10,33,2,0,Passed
Honeywell automation,INE671A01010,3,23,-20,-667,12-Mar-2019,55,Buy,Mid Cap,23814,14597,-38 %,3.68,22891.60,8,0,17,28,10,24,3,0,tbd_units le 0 and Failed
Tube investments,INE974X01010,3,2,1,33,02-Jan-2019,124,Buy,Small Cap,374,222,-40 %,30.62,290.39,0,1,0,0,0,0,0,0,dp3 < 6 and roe3 < 4 and roce3 < 4 and Failed
Vip industries,INE054A01027,3,3,0,0,02-Jan-2019,124,Buy,Small Cap,452,262,-42 %,53.75,303.39,39,0,24,36,12,32,1,0,tbd_units le 0 and Failed
V guard industries,INE951I01027,3,2,1,33,22-Apr-2019,14,Buy,Small Cap,216,119,-44 %,(8.00),240.32,21,0,23,32,11,16,4,0,Passed
Havells,INE176B01034,3,3,0,0,03-Jul-2018,307,Buy,Large Cap,770,421,-45 %,50.30,515.02,43,0,20,27,14,13,5,0,peg > 4 and tbd_units le 0 and Failed
Relaxo footwears,INE131B01039,3,3,0,0,02-Jan-2019,124,Buy,Small Cap,881,482,-45 %,43.75,625.65,9,0,24,28,15,29,2,0,tbd_units le 0 and Failed
Titan company,INE280A01028,15,5,10,67,02-Jan-2019,124,Buy,Large Cap,1145,615,-46 %,66.06,692.00,30,0,22,25,10,9,8,0,peg > 4 and Failed
Dr reddys laboratories,INE089A01023,3,5,-2,-67,04-Apr-2018,397,Buy,Large Cap,2907,1558,-46 %,16.54,2453.52,26,0,12,12,4,-10,-3,0,profit5 < 0 and tbd_units le 0 and Failed
Reliance industries,INE002A01018,15,9,6,40,09-Nov-2018,178,Buy,Large Cap,1409,733,-47 %,152.34,550.64,10,1,13,11,0,13,2,0,Passed
Icici bank,INE090A01021,3,5,-2,-67,04-Dec-2018,153,Buy,Large Cap,402,187,-53 %,46.83,273.17,18,8,10,6,7,-4,-10,0,d2e > 2 and profit5 < 0 and tbd_units le 0 and Failed
Jk tyre industries,INE573A01042,3,4,-1,-33,05-Feb-2019,90,Buy,Small Cap,86,39,-54 %,(34.49),137.47,26,3,15,12,4,-33,0,29,d2e > 2 and profit5 < 0 and pledge > 25 and tbd_units le 0 and Failed
Bata,INE176A01028,3,4,-1,-33,09-Nov-2018,178,Buy,Small Cap,1442,649,-54 %,99.24,734.88,24,0,15,23,7,5,12,0,peg > 4 and tbd_units le 0 and Failed
Bharti airtel,INE397D01024,3,11,-8,-267,09-Nov-2018,178,Buy,Large Cap,331,144,-56 %,(10.32),361.83,71,2,6,10,2,-8,0,0,profit5 < 0 and tbd_units le 0 and Failed
Bajaj finserv,INE918I01018,3,6,-3,-100,19-Sep-2017,594,Buy,Large Cap,7624,2949,-61 %,34.73,5668.89,1,3,15,15,31,12,3,0,dp3 < 6 and d2e > 2 and tbd_units le 0 and Failed
Biocon,INE376G01013,3,1,2,67,24-Aug-2018,255,Buy,Large Cap,551,210,-61 %,(2.10),626.57,15,0,10,10,11,-1,-51,0,profit5 < 0 and Failed
Bajaj finance,INE296A01024,3,3,0,0,24-Aug-2018,255,Buy,Large Cap,3112,1139,-63 %,4.01,2973.91,10,4,21,13,34,35,1,0,d2e > 2 and tbd_units le 0 and Failed
Indian hotels co,INE053A01029,3,7,-4,-133,09-Nov-2018,178,Buy,Mid Cap,153,47,-69 %,30.46,116.82,-7,1,-3,6,2,0,0,0,dp3 < 6 and roe3 < 4 and tbd_units le 0 and Failed
Axis bank,INE238A01034,3,2,1,33,04-Apr-2018,397,Buy,Large Cap,757,110,-85 %,45.55,517.23,15,10,8,6,11,-40,-12,0,d2e > 2 and profit5 < 0 and Failed
